Year	Index	Type
1982	-0.419145643	Overlap
1983	0.22681616	Overlap
1984	-0.309792408	Overlap
1985	-0.213805975	Overlap
1986	-0.598558462	Overlap
1987	0.296980211	Overlap
1988	-0.242647441	Overlap
1989	0.169856027	Overlap
1990	-0.120445158	Overlap
1991	0.112238581	Overlap
1992	-0.458696338	Overlap
1993	0.235477594	Overlap
1994	-0.71942736	Overlap
1995	-0.620287481	Overlap
1996	0.403627615	Overlap
1997	-0.045126337	Overlap
1998	0.439783409	Overlap
1999	-1.250374987	Overlap
2000	-1.03257422	Overlap
2001	0.957875567	Overlap
2002	0.585333012	Overlap
2003	1.193963582	Overlap
2004	0.730897713	Overlap
2005	1.409795867	Overlap
2006	-0.144084743	Overlap
2007	-2.025866807	Overlap
2008	-0.37906514	Overlap
2009	-1.112869239	Overlap
2010	-1.152347769	Overlap
2011	-0.248754028	Overlap
2012	-0.392386799	Overlap
2013	-1.222093188	Overlap
2014	0.916959711	Overlap
2015	0.628771398	Overlap
2016	1.172138282	Overlap
2017	-0.76731629	Overlap
2018	-0.10442071	Overlap
2019	0.986043804	Overlap
2021	-1.439996319	Overlap
1982	-0.755762068	TempAnomaly
1983	0.408972521	TempAnomaly
1984	-0.558587104	TempAnomaly
1985	-0.385513839	TempAnomaly
1986	-1.079261561	TempAnomaly
1987	0.535485415	TempAnomaly
1988	-0.437517925	TempAnomaly
1989	0.306267629	TempAnomaly
1990	-0.217174824	TempAnomaly
1991	0.202377535	TempAnomaly
1992	-0.827075978	TempAnomaly
1993	0.424589964	TempAnomaly
1994	-1.297200432	TempAnomaly
1995	-1.118441184	TempAnomaly
1996	0.727781491	TempAnomaly
1997	-0.081367359	TempAnomaly
1998	0.792974051	TempAnomaly
1999	-2.254552808	TempAnomaly
2000	-0.605046361	TempAnomaly
2001	-0.187116276	TempAnomaly
2002	0.691716917	TempAnomaly
2003	1.147917511	TempAnomaly
2004	0.778056949	TempAnomaly
2005	0.847817849	TempAnomaly
2006	-1.100185503	TempAnomaly
2007	-1.115982552	TempAnomaly
2008	-1.66127228	TempAnomaly
2009	-1.586812835	TempAnomaly
2010	-1.632945599	TempAnomaly
2011	-0.319546384	TempAnomaly
2012	-1.950281124	TempAnomaly
2013	-0.994865278	TempAnomaly
2014	0.668560829	TempAnomaly
2015	0.721819222	TempAnomaly
2016	2.226444192	TempAnomaly
2017	-0.048528969	TempAnomaly
2018	1.883512649	TempAnomaly
2019	2.236737047	TempAnomaly
2021	-2.596459284	TempAnomaly
