Year	Overlap	TempAnomaly
1982	-0.419145643	-0.755762068
1983	0.22681616	0.408972521
1984	-0.309792408	-0.558587104
1985	-0.213805975	-0.385513839
1986	-0.598558462	-1.079261561
1987	0.296980211	0.535485415
1988	-0.242647441	-0.437517925
1989	0.169856027	0.306267629
1990	-0.120445158	-0.217174824
1991	0.112238581	0.202377535
1992	-0.458696338	-0.827075978
1993	0.235477594	0.424589964
1994	-0.71942736	-1.297200432
1995	-0.620287481	-1.118441184
1996	0.403627615	0.727781491
1997	-0.045126337	-0.081367359
1998	0.439783409	0.792974051
1999	-1.250374987	-2.254552808
2000	-1.03257422	-0.605046361
2001	0.957875567	-0.187116276
2002	0.585333012	0.691716917
2003	1.193963582	1.147917511
2004	0.730897713	0.778056949
2005	1.409795867	0.847817849
2006	-0.144084743	-1.100185503
2007	-2.025866807	-1.115982552
2008	-0.37906514	-1.66127228
2009	-1.112869239	-1.586812835
2010	-1.152347769	-1.632945599
2011	-0.248754028	-0.319546384
2012	-0.392386799	-1.950281124
2013	-1.222093188	-0.994865278
2014	0.916959711	0.668560829
2015	0.628771398	0.721819222
2016	1.172138282	2.226444192
2017	-0.76731629	-0.048528969
2018	-0.10442071	1.883512649
2019	0.986043804	2.236737047
2021	-1.439996319	-2.596459284
