Length,male,female,area,male,female,area,male,female,area,male,female,area,male,female,area,male,female,area,male,female,area
7,0,0,509,0,0,513,0,1,514,0,0,516,0,0,517,0,0,521,0,0,524
8,0,0,509,0,0,513,6,1,514,0,0,516,0,0,517,0,0,521,0,0,524
9,0,0,509,0,0,513,4,7,514,0,0,516,0,0,517,0,0,521,0,0,524
10,0,0,509,0,0,513,9,6,514,0,0,516,0,0,517,0,0,521,0,0,524
11,0,0,509,0,0,513,10,11,514,0,0,516,0,0,517,0,0,521,0,0,524
12,0,0,509,0,0,513,23,11,514,0,0,516,0,0,517,0,0,521,0,0,524
13,0,0,509,0,0,513,14,25,514,0,0,516,0,0,517,0,0,521,0,0,524
14,0,0,509,0,0,513,32,21,514,0,0,516,0,0,517,0,0,521,0,0,524
15,0,0,509,1,1,513,37,38,514,0,0,516,0,0,517,0,0,521,0,0,524
16,5,0,509,3,0,513,52,41,514,0,0,516,0,0,517,0,0,521,0,0,524
17,2,1,509,3,1,513,63,52,514,0,0,516,0,0,517,0,0,521,0,0,524
18,17,2,509,2,6,513,74,55,514,0,0,516,0,0,517,0,0,521,0,0,524
19,17,2,509,19,6,513,73,67,514,2,0,516,0,2,517,2,2,521,0,0,524
20,32,32,509,22,20,513,128,70,514,2,1,516,3,3,517,2,7,521,0,0,524
21,73,56,509,75,60,513,141,101,514,8,2,516,5,1,517,6,17,521,0,2,524
22,172,156,509,119,115,513,190,120,514,20,12,516,13,13,517,30,22,521,0,1,524
23,294,224,509,222,190,513,226,145,514,42,30,516,19,25,517,21,23,521,5,6,524
24,400,379,509,382,359,513,352,192,514,74,54,516,41,29,517,62,66,521,13,5,524
25,568,485,509,547,464,513,403,246,514,101,72,516,58,43,517,84,91,521,11,12,524
26,813,680,509,826,698,513,588,273,514,127,79,516,82,82,517,157,158,521,20,15,524
27,1163,841,509,1083,865,513,905,408,514,173,74,516,87,107,517,225,206,521,33,36,524
28,1403,1156,509,1346,1146,513,1313,442,514,231,110,516,112,110,517,248,218,521,25,62,524
29,1758,1260,509,1868,1498,513,1884,628,514,268,152,516,132,136,517,297,245,521,34,40,524
30,2261,1816,509,2477,2032,513,2643,851,514,431,201,516,162,185,517,317,327,521,48,58,524
31,2418,2235,509,2655,2752,513,3342,1195,514,431,250,516,161,217,517,347,381,521,39,62,524
32,2281,2856,509,2709,3509,513,3292,1585,514,440,296,516,193,247,517,439,442,521,87,75,524
33,1662,3035,509,2134,3987,513,3009,1927,514,333,396,516,160,248,517,384,448,521,77,94,524
34,1066,2896,509,1538,4054,513,2293,2111,514,250,416,516,120,257,517,422,545,521,84,126,524
35,647,2476,509,848,3678,513,1394,1933,514,151,328,516,88,262,517,324,581,521,73,136,524
36,370,1859,509,472,2759,513,691,1699,514,76,278,516,56,195,517,293,604,521,57,140,524
37,153,1223,509,229,1987,513,257,1484,514,34,193,516,29,139,517,163,540,521,18,141,524
38,87,707,509,107,1172,513,105,823,514,30,108,516,14,99,517,90,461,521,24,109,524
39,36,386,509,73,636,513,39,526,514,8,63,516,7,64,517,57,381,521,8,80,524
40,10,191,509,26,286,513,13,268,514,0,22,516,0,24,517,20,207,521,2,40,524
41,9,87,509,10,118,513,12,157,514,2,10,516,2,24,517,8,129,521,2,42,524
42,0,44,509,9,65,513,6,65,514,0,6,516,0,6,517,2,78,521,0,9,524
43,2,33,509,2,35,513,3,36,514,4,2,516,0,5,517,4,46,521,2,9,524
44,0,10,509,1,15,513,9,17,514,2,2,516,0,0,517,0,19,521,1,7,524
45,1,9,509,4,7,513,4,5,514,0,0,516,0,1,517,0,19,521,1,1,524
46,1,6,509,0,4,513,0,1,514,0,2,516,0,2,517,0,6,521,0,5,524
47,0,0,509,0,5,513,0,4,514,0,0,516,0,3,517,0,4,521,0,1,524
48,1,0,509,0,1,513,0,5,514,0,0,516,0,0,517,2,14,521,0,1,524
49,2,0,509,0,3,513,0,2,514,0,0,516,0,0,517,0,8,521,0,0,524
50,0,0,509,0,0,513,0,2,514,0,0,516,0,0,517,0,2,521,0,0,524
51,0,0,509,0,0,513,0,0,514,0,0,516,0,0,517,1,3,521,0,0,524
52,0,0,509,0,0,513,0,0,514,0,0,516,0,0,517,0,0,521,0,0,524
53,2,0,509,0,0,513,0,1,514,0,0,516,0,0,517,0,2,521,0,0,524
54,0,0,509,0,0,513,0,0,514,0,0,516,0,0,517,0,0,521,0,0,524
55,0,0,509,0,0,513,0,2,514,0,0,516,0,0,517,0,0,521,0,0,524
56,0,0,509,0,0,513,2,0,514,0,0,516,0,0,517,0,2,521,0,0,524
57,0,0,509,0,0,513,0,0,514,0,0,516,0,0,517,0,0,521,0,0,524
58,0,0,509,0,0,513,0,2,514,0,0,516,0,0,517,0,0,521,0,0,524
