,,Arrowtooth Flounder,Atka Mackerel,BSAI Alaska Plaice,BSAI Kamchatka Flounder,BSAI Other Flatfish,Flathead Sole,Flounder,Greenland Turbot,Other Flatfish,Northern Rockfish,BSAI Shortraker Rockfish,Other Rockfish,Pacific Cod,Pollock,Rock Sole,Sablefish,Sharpchin/Northern Rockfish,Shortraker/Rougheye/Sharpchin/Northern Rockfish,BSAI Skate,BSAI Squid,Octopus,Non TAC Species,Other Species,Pacific Ocean Perch,Sculpin,Shark,Squid,Yellowfin Sole
1992,0,366,1,0,0,"7,990",0,"16,826",0,0,0,0,0,"8,700","13,100","14,646",0,0,0,0,0,0,0,0,0,0,0,0,"136,804"
1993,0,"1,017",0,0,0,"3,847",0,"9,620",4,0,0,0,0,"8,723","15,253","7,300",0,0,0,0,0,0,0,0,4,0,0,0,"91,931"
1994,0,"1,595",0,0,0,"3,983",0,"12,422",4,0,0,0,0,"16,415","33,200","8,096",0,0,0,0,0,0,0,0,0,0,0,4,"126,162"
1995,0,345,0,0,0,"2,904","3,929",0,67,"12,239",0,0,3,"13,181","27,041","7,486",0,0,0,0,0,0,0,0,0,0,0,0,"108,493"
1996,0,819,0,0,0,"2,565","3,165",0,8,"10,962",0,0,22,"8,684","22,254","12,903",0,0,0,0,0,0,0,0,0,0,0,10,"112,817"
1997,0,386,0,0,0,"4,754","3,896",0,4,"17,222",0,0,12,"12,825","24,100","16,693",0,0,0,0,0,0,0,0,0,0,0,0,"169,661"
1998,0,"2,382",0,0,0,"3,570","5,323",0,103,"9,182",0,0,1,"10,233","15,339","9,826",0,0,1,0,0,0,0,0,1,0,0,1,"90,082"
1999,0,"1,631",32,0,0,"2,765","2,309",0,69,"11,449",0,0,3,"4,383","8,701","10,774",4,0,15,0,0,0,21,0,12,0,0,0,"62,870"
2000,0,"1,998",0,0,0,"3,641","2,644",0,23,"10,286",0,0,3,"5,192","13,425","7,345",0,0,0,0,0,0,188,0,1,0,0,0,"71,478"
2001,0,"1,845",0,0,0,"3,969","3,231",0,32,"6,844",0,0,0,"6,531","16,502","5,810",0,1,0,0,0,0,173,0,0,0,0,0,"54,722"
2002,0,997,0,"10,395",0,"4,946","2,190",0,2,519,0,0,0,"6,259","14,489","10,664",0,0,0,0,0,0,165,0,1,0,0,0,"66,177"
2003,211,"1,132",16,"8,513",0,213,"2,856",0,3,0,0,0,0,"4,634","11,578","8,314",0,0,0,0,1,0,0,"3,002",10,0,0,0,"68,705"
2004,0,263,0,"5,835",0,433,"1,076",0,0,0,0,0,2,"3,574","10,383","9,972",0,0,0,0,0,0,0,"1,602",0,0,0,0,"65,373"
2005,0,645,110,"8,711",0,653,"1,247",0,6,0,3,0,0,"3,769","10,312","10,090",1,0,0,0,0,0,0,"2,136",15,0,0,0,"82,434"
2006,0,350,17,"13,972",0,877,"2,025",0,8,0,0,0,0,"2,545","5,966","7,971",0,0,0,0,0,0,0,"2,297",0,0,0,0,"83,932"
2007,0,213,0,"16,357",0,"2,850","1,735",0,0,0,0,0,0,"2,519","4,020","8,241",0,0,0,0,0,0,0,"3,996",0,0,0,0,"108,180"
2008,0,"1,969",0,"13,511",0,"1,235","5,579",0,0,0,0,0,0,"5,767","9,827","10,468",0,0,0,0,0,0,0,"4,191",0,0,0,0,"130,688"
2009,0,"1,851",0,"10,631",0,241,"3,497",0,3,0,0,0,0,"10,716","7,036","8,978",0,0,0,0,0,0,0,"4,346",0,0,0,0,"97,904"
2010,0,"1,619",0,"12,044",0,977,"2,695",0,1,0,0,0,0,"11,117","5,179","9,624",0,0,0,0,0,0,0,"3,561",0,0,0,0,"102,756"
2011,0,"2,331",0,"18,305",91,"1,585","3,229",0,5,0,0,0,0,"16,204","8,673","9,694",0,0,0,"2,107",0,1,0,0,0,"1,804",1,0,"136,796"
2012,0,987,0,"13,594",122,"1,206","2,095",0,5,0,0,0,0,"19,380","11,197","9,179",0,0,0,"2,234",0,1,0,0,0,"1,940",0,0,"134,285"
2013,0,"2,042",0,"15,978",148,388,"4,179",0,35,0,0,0,0,"24,339","20,171","7,688",0,0,0,"2,683",0,0,0,0,16,"1,920",0,0,"147,466"
2014,0,"2,216",0,"14,372",498,"2,886","3,998",0,56,0,0,0,0,"15,218","24,712","7,030",0,0,0,"1,970",0,0,0,0,0,"1,259",0,0,"139,485"
2015,0,"1,685",0,"11,681",427,"1,041","3,337",0,42,0,0,0,0,"12,168","21,281","9,772",0,0,0,"1,072",0,0,0,0,0,"1,082",1,0,"107,941"
2016,0,"3,249",0,"8,163",284,"1,135","4,103",0,7,0,0,0,0,"11,985","22,306","7,948",0,0,0,"1,294",0,0,0,0,2,948,3,0,"107,496"
2017,0,"1,262",0,"12,782",164,"1,734","3,106",0,8,0,0,0,0,"14,648","23,414","12,196",0,0,0,"1,931",0,0,0,0,0,"1,308",1,0,"110,445"
2018,0,"3,075",0,"15,340",218,"3,282","3,966",0,26,0,0,0,0,"12,582","28,235","9,362",6,0,0,"2,561",0,0,0,0,0,"1,246",4,0,"109,831"
2019,0,"3,177",0,"12,850",228,"1,439","4,128",0,6,0,0,0,0,"11,682","23,051","9,073",0,0,0,"3,493",0,0,0,0,0,"1,516",2,0,"110,428"
2020,0,"1,324",0,"15,901",84,"2,174","2,702",0,12,0,0,1,0,"10,983","28,549","10,760",3,0,0,"1,436",0,0,0,0,63,"1,312",2,0,"105,704"
