,Latitude,Longitude,Weight,Month,,
499,60.3,196.1,0,11,,
500,60.3,197.1,0,11,,
501,60.3,198.1,0,11,,
502,60.3,199.1,0,11,,
503,60.3,200.1,0,11,,
504,60.3,201.1,0,11,,
505,61.3,181.1,0,11,,
506,61.3,182.1,0,11,,
507,61.3,183.1,0,11,,
508,61.3,184.1,0,11,,
509,61.3,185.1,0,11,,
510,61.3,186.1,0,11,,
511,61.3,187.1,0,11,,
512,61.3,188.1,0,11,,
513,61.3,189.1,0,11,,
514,61.3,190.1,0,11,,
515,61.3,191.1,0,11,,
516,61.3,192.1,0,11,,
517,61.3,193.1,0,11,,
518,61.3,194.1,0,11,,
519,61.3,195.1,0,11,,
520,61.3,196.1,0,11,,
521,61.3,197.1,0,11,,
522,61.3,198.1,0,11,,
523,61.3,199.1,0,11,,
524,61.3,200.1,0,11,,
525,61.3,201.1,0,11,,
526,62.3,181.1,0,11,,
527,62.3,182.1,0,11,,
528,62.3,183.1,0,11,,
529,62.3,184.1,0,11,,
530,62.3,185.1,0,11,,
531,62.3,186.1,0,11,,
532,62.3,187.1,0,11,,
533,62.3,188.1,0,11,,
534,62.3,189.1,0,11,,
535,62.3,190.1,0,11,,
536,62.3,191.1,0,11,,
537,62.3,192.1,0,11,,
538,62.3,193.1,0,11,,
539,62.3,194.1,0,11,,
540,62.3,195.1,0,11,,
541,62.3,196.1,0,11,,
542,62.3,197.1,0,11,,
543,62.3,198.1,0,11,,
544,62.3,199.1,0,11,,
545,62.3,200.1,0,11,,
546,62.3,201.1,0,11,,
547,63.3,181.1,0,11,,
548,63.3,182.1,0,11,,
549,63.3,183.1,0,11,,
550,63.3,184.1,0,11,,
551,63.3,185.1,0,11,,
552,63.3,186.1,0,11,,
553,63.3,187.1,0,11,,
554,63.3,188.1,0,11,,
555,63.3,189.1,0,11,,
556,63.3,190.1,0,11,,
557,63.3,191.1,0,11,,
558,63.3,192.1,0,11,,
559,63.3,193.1,0,11,,
560,63.3,194.1,0,11,,
561,63.3,195.1,0,11,,
562,63.3,196.1,0,11,,
563,63.3,197.1,0,11,,
564,63.3,198.1,0,11,,
565,63.3,199.1,0,11,,
566,63.3,200.1,0,11,,
567,63.3,201.1,0,11,,
568,64.3,181.1,0,11,,
569,64.3,182.1,0,11,,
570,64.3,183.1,0,11,,
571,64.3,184.1,0,11,,
572,64.3,185.1,0,11,,
573,64.3,186.1,0,11,,
574,64.3,187.1,0,11,,
575,64.3,188.1,0,11,,
576,64.3,189.1,0,11,,
577,64.3,190.1,0,11,,
578,64.3,191.1,0,11,,
579,64.3,192.1,0,11,,
580,64.3,193.1,0,11,,
581,64.3,194.1,0,11,,
582,64.3,195.1,0,11,,
583,64.3,196.1,0,11,,
584,64.3,197.1,0,11,,
585,64.3,198.1,0,11,,
586,64.3,199.1,0,11,,
587,64.3,200.1,0,11,,
588,64.3,201.1,0,11,,
589,65.3,181.1,0,11,,
590,65.3,182.1,0,11,,
591,65.3,183.1,0,11,,
592,65.3,184.1,0,11,,
593,65.3,185.1,0,11,,
594,65.3,186.1,0,11,,
595,65.3,187.1,0,11,,
596,65.3,188.1,0,11,,
597,65.3,189.1,0,11,,
598,65.3,190.1,0,11,,
599,65.3,191.1,0,11,,
600,65.3,192.1,0,11,,
601,65.3,193.1,0,11,,
602,65.3,194.1,0,11,,
603,65.3,195.1,0,11,,
604,65.3,196.1,0,11,,
605,65.3,197.1,0,11,,
606,65.3,198.1,0,11,,
607,65.3,199.1,0,11,,
608,65.3,200.1,0,11,,
609,65.3,201.1,0,11,,
610,66.3,181.1,0,11,,
611,66.3,182.1,0,11,,
612,66.3,183.1,0,11,,
613,66.3,184.1,0,11,,
614,66.3,185.1,0,11,,
615,66.3,186.1,0,11,,
616,66.3,187.1,0,11,,
617,66.3,188.1,0,11,,
618,66.3,189.1,0,11,,
619,66.3,190.1,0,11,,
620,66.3,191.1,0,11,,
621,66.3,192.1,0,11,,
622,66.3,193.1,0,11,,
623,66.3,194.1,0,11,,
624,66.3,195.1,0,11,,
625,66.3,196.1,0,11,,
626,66.3,197.1,0,11,,
627,66.3,198.1,0,11,,
628,66.3,199.1,0,11,,
629,66.3,200.1,0,11,,
630,66.3,201.1,0,11,,
1,52.3,181.1,0,12,,
2,52.3,182.1,0,12,,
3,52.3,183.1,0,12,,
4,52.3,184.1,0,12,,
5,52.3,185.1,0,12,,
6,52.3,186.1,0,12,,
7,52.3,187.1,0,12,,
8,52.3,188.1,0,12,,
9,52.3,189.1,0,12,,
10,52.3,190.1,0,12,,
11,52.3,191.1,0,12,,
12,52.3,192.1,0,12,,
13,52.3,193.1,0,12,,
14,52.3,194.1,0,12,,
15,52.3,195.1,0,12,,
16,52.3,196.1,0,12,,
17,52.3,197.1,0,12,,
18,52.3,198.1,0,12,,
19,52.3,199.1,0,12,,
20,52.3,200.1,0,12,,
21,52.3,201.1,0,12,,
22,53.3,181.1,0,12,,
23,53.3,182.1,0,12,,
24,53.3,183.1,0,12,,
25,53.3,184.1,0,12,,
26,53.3,185.1,0,12,,
27,53.3,186.1,0,12,,
28,53.3,187.1,0,12,,
29,53.3,188.1,0,12,,
30,53.3,189.1,0,12,,
31,53.3,190.1,0,12,,
32,53.3,191.1,0,12,,
33,53.3,192.1,0,12,,
34,53.3,193.1,0,12,,
35,53.3,194.1,0,12,,
36,53.3,195.1,0,12,,
37,53.3,196.1,0,12,,
38,53.3,197.1,0,12,,
39,53.3,198.1,0,12,,
40,53.3,199.1,0,12,,
41,53.3,200.1,0,12,,
42,53.3,201.1,0,12,,
43,54.3,181.1,0,12,,
44,54.3,182.1,0,12,,
45,54.3,183.1,0,12,,
46,54.3,184.1,0,12,,
47,54.3,185.1,0,12,,
48,54.3,186.1,0,12,,
49,54.3,187.1,0,12,,
50,54.3,188.1,0,12,,
51,54.3,189.1,0,12,,
52,54.3,190.1,0,12,,
53,54.3,191.1,0,12,,
54,54.3,192.1,0,12,,
55,54.3,193.1,0,12,,
56,54.3,194.1,0,12,,
57,54.3,195.1,0,12,,
58,54.3,196.1,0,12,,
59,54.3,197.1,0,12,,
60,54.3,198.1,0,12,,
61,54.3,199.1,0,12,,
62,54.3,200.1,0,12,,
63,54.3,201.1,0,12,,
64,55.3,181.1,0,12,,
65,55.3,182.1,0,12,,
66,55.3,183.1,0,12,,
67,55.3,184.1,0,12,,
68,55.3,185.1,0,12,,
69,55.3,186.1,0,12,,
70,55.3,187.1,0,12,,
71,55.3,188.1,0,12,,
72,55.3,189.1,0,12,,
73,55.3,190.1,0,12,,
74,55.3,191.1,0,12,,
75,55.3,192.1,0,12,,
76,55.3,193.1,0,12,,
77,55.3,194.1,0,12,,
78,55.3,195.1,0,12,,
79,55.3,196.1,0,12,,
80,55.3,197.1,0,12,,
81,55.3,198.1,0,12,,
82,55.3,199.1,0,12,,
83,55.3,200.1,0,12,,
84,55.3,201.1,0,12,,
85,56.3,181.1,0,12,,
86,56.3,182.1,0,12,,
87,56.3,183.1,0,12,,
88,56.3,184.1,0,12,,
89,56.3,185.1,0,12,,
90,56.3,186.1,0,12,,
91,56.3,187.1,0,12,,
92,56.3,188.1,0,12,,
93,56.3,189.1,0,12,,
94,56.3,190.1,0,12,,
95,56.3,191.1,0,12,,
96,56.3,192.1,0,12,,
97,56.3,193.1,0,12,,
98,56.3,194.1,0,12,,
99,56.3,195.1,0,12,,
100,56.3,196.1,0,12,,
101,56.3,197.1,0,12,,
102,56.3,198.1,0,12,,
103,56.3,199.1,0,12,,
104,56.3,200.1,0,12,,
105,56.3,201.1,0,12,,
106,57.3,181.1,0,12,,
107,57.3,182.1,0,12,,
108,57.3,183.1,0,12,,
109,57.3,184.1,0,12,,
110,57.3,185.1,0,12,,
111,57.3,186.1,0,12,,
112,57.3,187.1,0,12,,
113,57.3,188.1,0,12,,
114,57.3,189.1,0,12,,
115,57.3,190.1,0,12,,
116,57.3,191.1,0,12,,
117,57.3,192.1,0,12,,
118,57.3,193.1,0,12,,
119,57.3,194.1,0,12,,
120,57.3,195.1,0,12,,
121,57.3,196.1,0,12,,
122,57.3,197.1,0,12,,
123,57.3,198.1,0,12,,
124,57.3,199.1,0,12,,
125,57.3,200.1,0,12,,
126,57.3,201.1,0,12,,
127,58.3,181.1,0,12,,
128,58.3,182.1,0,12,,
129,58.3,183.1,0,12,,
130,58.3,184.1,0,12,,
131,58.3,185.1,0,12,,
132,58.3,186.1,0,12,,
133,58.3,187.1,0,12,,
134,58.3,188.1,0,12,,
135,58.3,189.1,0,12,,
136,58.3,190.1,0,12,,
137,58.3,191.1,0,12,,
138,58.3,192.1,0,12,,
139,58.3,193.1,0,12,,
140,58.3,194.1,0,12,,
141,58.3,195.1,0,12,,
142,58.3,196.1,0,12,,
143,58.3,197.1,0,12,,
144,58.3,198.1,0,12,,
145,58.3,199.1,0,12,,
146,58.3,200.1,0,12,,
147,58.3,201.1,0,12,,
148,59.3,181.1,0,12,,
149,59.3,182.1,0,12,,
150,59.3,183.1,0,12,,
151,59.3,184.1,0,12,,
152,59.3,185.1,0,12,,
153,59.3,186.1,0,12,,
154,59.3,187.1,0,12,,
155,59.3,188.1,0,12,,
156,59.3,189.1,0,12,,
157,59.3,190.1,0,12,,
158,59.3,191.1,0,12,,
159,59.3,192.1,0,12,,
160,59.3,193.1,0,12,,
161,59.3,194.1,0,12,,
162,59.3,195.1,0,12,,
163,59.3,196.1,0,12,,
164,59.3,197.1,0,12,,
165,59.3,198.1,0,12,,
166,59.3,199.1,0,12,,
167,59.3,200.1,0,12,,
168,59.3,201.1,0,12,,
169,60.3,181.1,0,12,,
170,60.3,182.1,0,12,,
171,60.3,183.1,0,12,,
172,60.3,184.1,0,12,,
173,60.3,185.1,0,12,,
174,60.3,186.1,0,12,,
175,60.3,187.1,0,12,,
176,60.3,188.1,0,12,,
177,60.3,189.1,0,12,,
178,60.3,190.1,0,12,,
179,60.3,191.1,0,12,,
180,60.3,192.1,0,12,,
181,60.3,193.1,0,12,,
182,60.3,194.1,0,12,,
183,60.3,195.1,0,12,,
184,60.3,196.1,0,12,,
185,60.3,197.1,0,12,,
186,60.3,198.1,0,12,,
187,60.3,199.1,0,12,,
188,60.3,200.1,0,12,,
189,60.3,201.1,0,12,,
190,61.3,181.1,0,12,,
191,61.3,182.1,0,12,,
192,61.3,183.1,0,12,,
193,61.3,184.1,0,12,,
194,61.3,185.1,0,12,,
195,61.3,186.1,0,12,,
196,61.3,187.1,0,12,,
197,61.3,188.1,0,12,,
198,61.3,189.1,0,12,,
199,61.3,190.1,0,12,,
200,61.3,191.1,0,12,,
201,61.3,192.1,0,12,,
202,61.3,193.1,0,12,,
203,61.3,194.1,0,12,,
204,61.3,195.1,0,12,,
205,61.3,196.1,0,12,,
206,61.3,197.1,0,12,,
207,61.3,198.1,0,12,,
208,61.3,199.1,0,12,,
209,61.3,200.1,0,12,,
210,61.3,201.1,0,12,,
211,62.3,181.1,0,12,,
212,62.3,182.1,0,12,,
213,62.3,183.1,0,12,,
214,62.3,184.1,0,12,,
215,62.3,185.1,0,12,,
216,62.3,186.1,0,12,,
217,62.3,187.1,0,12,,
218,62.3,188.1,0,12,,
219,62.3,189.1,0,12,,
220,62.3,190.1,0,12,,
221,62.3,191.1,0,12,,
222,62.3,192.1,0,12,,
223,62.3,193.1,0,12,,
224,62.3,194.1,0,12,,
225,62.3,195.1,0,12,,
226,62.3,196.1,0,12,,
227,62.3,197.1,0,12,,
228,62.3,198.1,0,12,,
229,62.3,199.1,0,12,,
230,62.3,200.1,0,12,,
231,62.3,201.1,0,12,,
232,63.3,181.1,0,12,,
233,63.3,182.1,0,12,,
234,63.3,183.1,0,12,,
235,63.3,184.1,0,12,,
236,63.3,185.1,0,12,,
237,63.3,186.1,0,12,,
238,63.3,187.1,0,12,,
239,63.3,188.1,0,12,,
240,63.3,189.1,0,12,,
241,63.3,190.1,0,12,,
242,63.3,191.1,0,12,,
243,63.3,192.1,0,12,,
244,63.3,193.1,0,12,,
245,63.3,194.1,0,12,,
246,63.3,195.1,0,12,,
247,63.3,196.1,0,12,,
248,63.3,197.1,0,12,,
249,63.3,198.1,0,12,,
250,63.3,199.1,0,12,,
251,63.3,200.1,0,12,,
252,63.3,201.1,0,12,,
253,64.3,181.1,0,12,,
254,64.3,182.1,0,12,,
255,64.3,183.1,0,12,,
256,64.3,184.1,0,12,,
257,64.3,185.1,0,12,,
258,64.3,186.1,0,12,,
259,64.3,187.1,0,12,,
260,64.3,188.1,0,12,,
261,64.3,189.1,0,12,,
262,64.3,190.1,0,12,,
263,64.3,191.1,0,12,,
264,64.3,192.1,0,12,,
265,64.3,193.1,0,12,,
266,64.3,194.1,0,12,,
267,64.3,195.1,0,12,,
268,64.3,196.1,0,12,,
269,64.3,197.1,0,12,,
270,64.3,198.1,0,12,,
271,64.3,199.1,0,12,,
272,64.3,200.1,0,12,,
273,64.3,201.1,0,12,,
274,65.3,181.1,0,12,,
275,65.3,182.1,0,12,,
276,65.3,183.1,0,12,,
277,65.3,184.1,0,12,,
278,65.3,185.1,0,12,,
279,65.3,186.1,0,12,,
280,65.3,187.1,0,12,,
281,65.3,188.1,0,12,,
282,65.3,189.1,0,12,,
283,65.3,190.1,0,12,,
284,65.3,191.1,0,12,,
285,65.3,192.1,0,12,,
286,65.3,193.1,0,12,,
287,65.3,194.1,0,12,,
288,65.3,195.1,0,12,,
289,65.3,196.1,0,12,,
290,65.3,197.1,0,12,,
291,65.3,198.1,0,12,,
292,65.3,199.1,0,12,,
293,65.3,200.1,0,12,,
294,65.3,201.1,0,12,,
295,66.3,181.1,0,12,,
296,66.3,182.1,0,12,,
297,66.3,183.1,0,12,,
298,66.3,184.1,0,12,,
299,66.3,185.1,0,12,,
300,66.3,186.1,0,12,,
301,66.3,187.1,0,12,,
302,66.3,188.1,0,12,,
303,66.3,189.1,0,12,,
304,66.3,190.1,0,12,,
305,66.3,191.1,0,12,,
306,66.3,192.1,0,12,,
307,66.3,193.1,0,12,,
308,66.3,194.1,0,12,,
309,66.3,195.1,0,12,,
310,66.3,196.1,0,12,,
311,66.3,197.1,0,12,,
312,66.3,198.1,0,12,,
313,66.3,199.1,0,12,,
314,66.3,200.1,0,12,,
315,66.3,201.1,0,12,,
2521,52.3,181.1,0,April,,
2522,52.3,182.1,0,April,,
2523,52.3,183.1,0,April,,
2524,52.3,184.1,0,April,,
2525,52.3,185.1,0,April,,
2526,52.3,186.1,0,April,,
2527,52.3,187.1,0,April,,
2528,52.3,188.1,0,April,,
2529,52.3,189.1,0,April,,
2530,52.3,190.1,0,April,,
2531,52.3,191.1,0,April,,
2532,52.3,192.1,0,April,,
2533,52.3,193.1,0,April,,
2534,52.3,194.1,0,April,,
2535,52.3,195.1,0,April,,
2536,52.3,196.1,0,April,,
2537,52.3,197.1,0,April,,
2538,52.3,198.1,0,April,,
2539,52.3,199.1,0,April,,
2540,52.3,200.1,0,April,,
2541,52.3,201.1,0,April,,
2542,53.3,181.1,0,April,,
2543,53.3,182.1,0,April,,
2544,53.3,183.1,0,April,,
2545,53.3,184.1,0,April,,
2546,53.3,185.1,0,April,,
2547,53.3,186.1,0,April,,
2548,53.3,187.1,0,April,,
2549,53.3,188.1,0,April,,
2550,53.3,189.1,0,April,,
2551,53.3,190.1,0,April,,
2552,53.3,191.1,0,April,,
2553,53.3,192.1,0,April,,
2554,53.3,193.1,97.11,April,,
2555,53.3,194.1,0,April,,
2556,53.3,195.1,0,April,,
2557,53.3,196.1,0,April,,
2558,53.3,197.1,0,April,,
2559,53.3,198.1,0,April,,
2560,53.3,199.1,0,April,,
2561,53.3,200.1,0,April,,
2562,53.3,201.1,0,April,,
2563,54.3,181.1,0,April,,
2564,54.3,182.1,0,April,,
2565,54.3,183.1,0,April,,
2566,54.3,184.1,0,April,,
2567,54.3,185.1,0,April,,
2568,54.3,186.1,0,April,,
2569,54.3,187.1,0,April,,
2570,54.3,188.1,0,April,,
2571,54.3,189.1,0,April,,
