,2010-2014 Average,2015,2016,2017,2018,2019
"Global production of flounder, halibut, and sole K mt","1,186","1,154","1,179","1,157","1,151",-
US share global production,27.91%,22.88%,22.72%,22.54%,21.56%,-
BSAI FMP flatfish share of U.S.1,76.03%,78.66%,78.91%,76.15%,79.55%,-
Export quantity of yellowfin sole and rock sole K mt,70.7,87.0,94.8,81.4,72.0,76.7
Export value  of yellowfin sole and rock sole M US$,$96.67,$118.07,$135.84,$115.26,$107.06,$118.42
Export price/lb of yellowfin sole and rock sole US$ ,$0.62,$0.62,$0.65,$0.64,$0.67,$0.70
China's share  of yellowfin sole and rock sole export value,82.72%,82.04%,78.38%,81.67%,78.63%,70.60%
"Exchange rate, Euro/Dollar",0.75,0.90,0.90,0.89,0.85,0.89
