"","509","513","514","516","517","521","524"
"7",0,0,0,0,0,0,0
"8",0,0,6,0,0,0,0
"9",0,0,4,0,0,0,0
"10",0,0,9,0,0,0,0
"11",0,0,10,0,0,0,0
"12",0,0,23,0,0,0,0
"13",0,0,14,0,0,0,0
"14",0,0,32,0,0,0,0
"15",0,1,37,0,0,0,0
"16",5,3,52,0,0,0,0
"17",2,3,63,0,0,0,0
"18",17,2,74,0,0,0,0
"19",17,19,73,2,0,2,0
"20",32,22,128,2,3,2,0
"21",73,75,141,8,5,6,0
"22",172,119,190,20,13,30,0
"23",294,222,226,42,19,21,5
"24",400,382,352,74,41,62,13
"25",568,547,403,101,58,84,11
"26",813,826,588,127,82,157,20
"27",1163,1083,905,173,87,225,33
"28",1403,1346,1313,231,112,248,25
"29",1758,1868,1884,268,132,297,34
"30",2261,2477,2643,431,162,317,48
"31",2418,2655,3342,431,161,347,39
"32",2281,2709,3292,440,193,439,87
"33",1662,2134,3009,333,160,384,77
"34",1066,1538,2293,250,120,422,84
"35",647,848,1394,151,88,324,73
"36",370,472,691,76,56,293,57
"37",153,229,257,34,29,163,18
"38",87,107,105,30,14,90,24
"39",36,73,39,8,7,57,8
"40",10,26,13,0,0,20,2
"41",9,10,12,2,2,8,2
"42",0,9,6,0,0,2,0
"43",2,2,3,4,0,4,2
"44",0,1,9,2,0,0,1
"45",1,4,4,0,0,0,1
"46",1,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",1,0,0,0,0,2,0
"49",2,0,0,0,0,0,0
"50",0,0,0,0,0,0,0
"51",0,0,0,0,0,1,0
"52",0,0,0,0,0,0,0
"53",2,0,0,0,0,0,0
"54",0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,2,0,0,0,0
"57",0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0
