"V1","V2","V3","V4"
"Likelihood Component","15.1","18.3","18.3 Downwt"
"Total","1599.2","1476.3","519.192"
"Survey Biomass","86.678","58.5918","44.0389"
"Survey Age","680.354","673.301","188.428"
"Fishery Age","646.303","540.812","168.15"
