"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"31",808.319,815.9,931.755,667.122,358.391,139.217,129.899,66.8015,92.0673,54.0205,45.6512,69.4644,39.1513,61.5752,100.945,36.4939,33.9701,75.2512,35.1714,33.6883
"32",951.336,681.478,687.782,785.092,561.242,300.053,115.236,105.909,53.927,74.0345,43.3872,36.6526,55.7663,31.43,49.4312,81.036,29.2964,27.2703,60.4097,55.2789
"33",298.684,802.069,574.515,579.706,661.265,471.697,250.659,95.06,86.0302,43.364,59.2806,34.6909,29.2929,44.5625,25.1144,39.4979,64.7515,23.4091,21.7902,92.4404
"34",120.608,251.821,676.189,484.257,488.316,555.835,394.03,206.59,77.0708,69.0319,34.6537,47.3111,27.6755,23.3665,35.5456,20.0325,31.5054,51.6488,18.6722,91.1157
"35",87.134,101.686,212.304,570.011,408.064,411.011,466.232,327.458,168.412,61.2941,53.9375,26.8582,36.5608,21.3661,18.0337,27.4306,15.4586,24.3118,39.8558,84.72
"36",59.6312,73.4629,85.7276,178.961,480.281,343.385,344.581,387.147,266.82,134.074,48.0039,41.9236,20.8171,28.31,16.5391,13.9581,21.2305,11.9644,18.8164,96.4173
"37",124.323,50.2749,61.9329,72.2609,150.777,404.095,287.832,286.132,315.548,212.261,104.668,37.1184,32.2926,16.0125,21.7655,12.7136,10.729,16.3187,9.19636,88.5734
"38",155.066,104.818,42.3856,52.2086,60.8949,126.936,339.215,239.724,234.14,251.385,165.157,80.4137,28.3724,24.6395,12.2103,16.594,9.69217,8.17904,12.4402,74.5329
"39",238.053,130.732,88.3605,35.7221,43.974,51.2115,106.349,281.745,195.674,186.046,194.148,124.998,60.2137,21.1441,18.3261,9.07453,12.3286,7.19996,6.07591,64.6092
"40",124.878,200.702,110.213,74.478,30.0913,36.9715,42.8154,87.6981,227.105,154.456,145.23,150.911,97.0237,46.7169,16.4024,14.2157,7.0391,9.56322,5.58498,54.8301
"41",731.158,105.287,169.212,92.9166,62.7796,25.3519,31.0978,35.8379,72.4934,183.603,122.137,113.431,117.302,75.2955,36.2366,12.7207,11.0244,5.45878,7.41621,46.8515
"42",1178.47,616.447,88.7654,142.644,78.2984,52.8368,21.2528,25.7925,29.1357,57.7527,144.655,95.8299,88.882,91.8793,58.9697,28.3787,9.96215,8.63362,4.27499,42.4993
"43",2202.8,993.523,519.623,74.7858,119.989,65.5548,43.7236,17.2441,20.5457,22.9818,45.3841,113.534,75.1841,69.7247,72.0733,46.2574,22.2609,7.81453,6.77241,36.6908
"44",2078.32,1857.16,837.561,437.931,62.9712,100.746,54.6127,35.8661,13.9023,16.3923,18.2602,36.011,90.0482,59.6238,55.2921,57.1539,36.6819,17.6528,6.19688,34.466
"45",437.826,1752.23,1565.67,705.952,368.855,52.9178,84.1195,45.0021,29.1067,11.1774,13.1309,14.6096,28.8012,72.0118,47.6797,44.2154,45.7041,29.3333,14.1163,32.5168
"46",471.095,369.122,1477.1,1319.33,594.167,309.349,43.994,68.9312,36.3965,23.3807,8.9556,10.5119,11.6927,23.0488,57.6277,38.1556,35.3832,36.5745,23.4738,37.3179
