"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",140.242,73.5467,56.1864,62.1231,93.8058,53.5931,29.7775,22.0109,15.2022,10.7804,6.78338,6.84405,5.60133,5.45262,5.46706,5.26556,5.21807,5.32636,5.33832,5.36774
"2",323.914,118.241,62.0083,47.3705,52.3717,79.0603,45.1275,24.996,18.2873,12.2469,8.096,4.64162,4.39627,3.50537,3.38342,3.38375,3.25662,3.22655,3.2935,6.61999
"3",179.867,273.099,99.6911,52.2801,39.938,44.1513,66.6339,38.0013,20.9851,15.1964,9.85454,6.00348,3.02521,2.58187,1.96331,1.86498,1.85621,1.78397,1.7675,5.43061
"4",282.05,151.65,230.255,84.0515,44.0781,33.6715,37.2207,56.1584,31.9958,17.6092,12.6083,7.89942,4.44126,2.00669,1.58849,1.17096,1.10119,1.09275,1.05022,4.2375
"5",273.562,237.802,127.859,194.133,70.8655,37.1629,28.3886,31.3793,47.3361,26.9515,14.7981,10.5074,6.39441,3.26717,1.13389,0.557957,0.265428,0.201419,0.199875,0.967179
"6",360.364,230.645,200.495,107.799,163.668,59.7358,31.3096,23.8734,26.237,39.0368,21.8078,11.8196,8.3488,5.07245,2.59049,0.898922,0.44232,0.210416,0.159673,0.925173
"7",664.646,303.711,194.244,168.517,90.1646,135.602,48.8935,25.3867,19.2641,21.1299,31.4156,17.5459,9.50883,6.71636,4.08059,2.08395,0.723145,0.355828,0.169271,0.872712
"8",676.619,560.18,255.72,162.979,140.082,73.9442,110.229,39.6167,20.5513,15.5911,17.1002,25.4239,14.1994,7.69522,5.43536,3.3023,1.68648,0.58522,0.287961,0.843246
"9",620.062,570.376,472.067,215.292,136.855,116.875,60.9632,89.6184,31.8995,16.4731,12.4756,13.6747,20.3268,11.3518,6.15187,4.34521,2.63997,1.34822,0.467843,0.904323
"10",1015.67,522.754,480.822,397.86,181.354,115.136,98.0448,50.8272,73.8765,25.8764,13.1493,9.84593,10.7259,15.8974,8.867,4.80272,3.39153,2.06036,1.05222,1.07091
"11",883.007,855.726,440.011,403.81,332.428,149.842,93.049,76.4134,37.8895,52.9867,18.1076,9.08443,6.76194,7.34703,10.8772,6.06401,3.28385,2.31875,1.40865,1.45156
"12",835.19,744.248,720.449,368.726,333.537,268.776,119.696,74.0641,60.7721,30.1283,42.1313,14.3978,7.22324,5.37657,5.84179,8.64873,4.82163,2.61106,1.84369,2.27421
"13",1416.03,704.122,627.314,606.675,309.289,276.252,217.676,95.3974,58.7007,48.0977,23.837,33.3311,11.3902,5.71436,4.25344,4.62148,6.84207,3.81443,2.06563,3.2577
"14",2155.76,1193.55,593.043,526.907,504.974,251.534,217.161,167.105,72.5515,44.5163,36.4466,18.0589,25.2502,8.62861,4.32886,3.22215,3.50095,5.18314,2.88958,4.03263
"15",757.787,1817.33,1005.62,498.288,436.999,399.683,183.897,151.55,115.121,49.8449,30.5672,25.0235,12.3986,17.3358,5.92407,2.97203,2.21221,2.40362,3.55854,4.75252
"16",651.737,638.79,1531.14,845.567,415.923,356.489,311.013,136.564,110.049,83.0037,35.8692,21.9855,17.9958,8.91627,12.4667,4.26015,2.13726,1.59085,1.7285,5.9767
"17",1452.1,549.434,538.325,1288.38,707.319,342.045,285.994,245.848,107.438,86.4748,65.2047,28.1757,17.2697,14.1357,7.0037,9.79252,3.34634,1.67881,1.24961,6.05241
"18",715.937,1224.17,463.095,453.437,1083.07,591.196,281.649,228.663,189.684,80.8863,64.3863,48.353,20.8655,12.7833,10.462,5.18327,7.2471,2.47649,1.24242,5.40394
"19",371.53,603.586,1031.94,390.22,381.616,908.155,490.555,228.033,178.064,142.625,59.6922,47.1695,35.335,15.2355,9.33162,7.63645,3.7833,5.28965,1.80759,4.85117
"20",542.908,313.244,508.892,870.01,328.931,321.408,761.854,404.829,180.106,134.131,105.337,43.8688,34.6289,25.9351,11.182,6.84882,5.60466,2.77669,3.88226,4.8871
"21",293.422,457.735,264.097,429.019,733.249,276.898,269.289,627.822,320.857,136.809,99.8198,77.911,32.3965,25.5633,19.1437,8.25369,5.05526,4.13691,2.04953,6.47284
"22",283.494,247.39,385.925,222.663,361.699,618.118,233.326,226.6,525.844,264.982,109.386,76.4488,57.9594,23.8159,18.7208,14.0037,6.03559,3.69636,3.02487,6.23148
"23",392.03,239.019,208.579,325.379,187.726,304.922,520.946,196.456,190.164,436.738,214.46,85.1323,57.7471,43.214,17.681,13.8807,10.3793,4.47304,2.73941,6.85997
"24",230.521,330.529,201.522,175.857,274.332,158.271,257.057,439.04,165.39,159.479,361.493,170.708,62.504,38.847,27.7168,11.1502,8.70961,6.50339,2.80268,6.0147
"25",367.893,194.357,278.674,169.904,148.259,231.241,133.338,216.184,367.303,136.608,129.107,287.759,134.783,49.2065,30.5541,21.7938,8.76665,6.84762,5.11306,6.93235
"26",328.589,310.176,163.863,234.942,143.223,124.929,194.626,111.853,179.852,300.979,110.101,102.973,228.477,106.843,38.9848,24.2027,17.2624,6.94376,5.42376,9.54075
"27",710.431,277.039,261.511,138.148,198.044,120.677,105.117,163.095,92.7635,146.383,240.241,86.8831,80.8834,179.18,83.7473,30.5528,18.967,13.5278,5.44154,11.7271
"28",1113.64,598.963,233.557,220.425,116.373,166.529,101.007,87.2586,134.25,75.9892,119.683,196.295,70.9754,66.0699,146.361,68.4076,24.9565,15.4928,11.05,14.0239
"29",1310.92,938.896,504.936,196.839,185.613,97.7476,138.967,83.2654,70.9752,108.302,61.0923,96.1066,157.566,56.9649,53.0258,117.464,54.901,20.029,12.4339,20.1232
"30",967.737,1105.22,791.488,425.509,165.679,155.663,81.2675,114.115,67.7595,57.5346,87.6806,49.4409,77.7685,127.497,46.0935,42.906,95.0462,44.4234,16.2065,26.3436
