"","index","name","value","std.dev"
"1",1,"ln_q_srv",0.6475,0.027248
"2",2,"natmort_m",0.17064,0.0021682
"3",3,"mean_log_rec",6.8482,0.1105
"50",50,"mean_log_init",3.365,0.12466
"89",89,"log_avg_fmort",-2.2343,0.0873
"136",136,"sel_slope_fsh_f",0.97223,0.04602
"137",137,"sel50_fsh_f",9.2586,0.49888
"230",230,"sel_slope_fsh_m",1.2175,0.059442
"231",231,"male_sel_offset",-0.12054,0.053629
"325",325,"sel_slope_srv",1.8435,0.098659
"326",326,"sel50_srv",3.6028,0.062712
"327",327,"sel_slope_srv_m",0.26557,0.06836
"328",328,"sel50_srv_m",-0.14042,0.018898
"329",329,"R_logalpha",2.8822,0.20319
"330",330,"R_logbeta",-5.2771,0.11354
"542",542,"msy",208.79,37.445
"543",543,"Fmsy",0.42556,0.2062
"544",544,"logFmsy",-0.85435,0.48455
"545",545,"Fmsyr",0.1546,0.02857
"546",546,"logFmsyr",-1.8669,0.18481
"557",557,"Bmsy",158.97,13.153
"558",558,"Bmsyr",1350.6,145.14
