V1
Mstuff 0.15 (f), 0.17 (m)   0.15 (f), 0.17 (m)
Tier 1a  1a
GMBio 923197   1359440
SSB 294627   286381
B0 476820   476820
Bmsy 158972   158972
Fofl 0.157   0.157
maxFabc 0.152   0.152
Fabc 0.152   0.152
OFL 145180   213783
maxABC 140306   206605
ABC 140306   206605
