V1
Mstuff 0.15 (f), 0.15 (m)   0.15 (f), 0.15 (m)
Tier 1a  1a
GMBio 1236920   1795500
SSB 384547   377866
B0 546127   546127
Bmsy 187790   187790
Fofl 0.145   0.145
maxFabc 0.14   0.14
Fabc 0.14   0.14
OFL 179645   260771
maxABC 173427   251746
ABC 173427   251746
