"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"22",283.494,252.55,402.18,236.87,392.776,685.257,264.305,263.46,638.406,351.714,168.024,134.721,107.477,42.4668,30.0669,20.3021,8.08052,4.75918,3.89008,9.07485
"23",392.03,244.005,217.371,346.157,203.871,338.044,589.703,227.378,226.457,547.458,299.762,141.131,110.045,84.6506,32.4724,22.6236,15.171,6.02224,3.54692,9.66249
"24",230.521,337.423,210.017,187.092,297.938,175.47,290.941,507.479,195.613,194.643,469.314,255.075,117.731,87.6641,62.3081,21.9659,14.4882,9.47555,3.7614,8.25038
"25",367.893,198.407,290.411,180.747,161.003,256.345,150.917,250.039,435.474,167.366,165.646,395.879,212.505,96.7186,71.1335,50.1182,17.5754,11.5589,7.55974,9.58318
"26",328.589,316.641,170.762,249.931,155.532,138.5,220.366,129.545,213.974,370.457,140.961,137.65,324.569,172.482,78.0342,57.2145,40.2517,14.1058,9.27699,13.7587
"27",710.431,282.805,272.505,146.941,215.005,133.718,118.925,188.733,110.39,180.711,308.71,115.638,111.363,260.081,137.451,62.0083,45.401,31.9195,11.1858,18.2672
"28",1113.64,611.419,243.368,234.459,126.376,184.771,114.742,101.771,160.801,93.4961,152.085,258.43,96.4563,92.6947,216.239,114.216,51.5114,37.7101,26.5124,24.4638
"29",1310.92,958.455,526.176,209.4,201.653,108.597,158.476,98.0389,86.3667,135.108,77.6936,125.245,211.613,78.7426,75.5602,176.148,93.0105,41.9421,30.7047,41.5062
"30",967.737,1128.24,824.814,452.713,180.077,173.227,93.0732,135.21,83.0245,72.4501,112.356,64.2298,103.206,174.103,64.7385,62.1024,144.754,76.4294,34.465,59.3378
"31",808.319,832.889,970.946,709.675,389.323,154.679,148.391,79.267,113.936,68.924,59.2678,90.9803,51.7259,82.9034,139.699,51.9218,49.798,116.065,61.2816,75.2116
"32",951.336,695.684,716.767,835.392,610.27,334.36,132.453,126.304,66.7884,94.8234,56.7767,48.522,74.2606,42.1643,67.5412,113.787,42.2871,40.5559,94.524,111.161
"33",298.684,818.787,598.712,616.74,718.455,524.177,286.294,112.634,106.122,55.3106,77.6466,46.2054,39.3794,60.2016,34.1671,54.7219,92.1846,34.2581,32.8556,166.632
"34",120.608,257.073,704.683,515.2,530.481,617.189,448.737,243.068,94.2338,87.3665,45.0581,62.9525,37.3939,31.8494,48.6796,27.6259,44.2444,74.5335,27.6985,161.291
"35",87.134,103.806,221.25,606.404,443.17,455.776,528.488,380.86,202.463,76.4337,69.3215,35.3434,49.1536,29.1497,24.8137,37.9189,21.5178,34.4612,58.0529,147.201
"36",59.6312,74.9956,89.3422,190.403,521.72,380.993,391.012,450.916,320.9,166.914,61.5103,54.8742,27.7572,38.482,22.7947,19.396,29.6355,16.8164,26.9318,160.408
"37",124.323,51.3236,64.5446,76.8834,163.805,448.519,326.96,334.147,381.779,267.078,135.701,48.9386,43.0603,21.6323,29.9009,17.6899,15.045,22.983,13.0415,145.286
"38",155.066,107.004,44.1724,55.5463,66.149,140.843,384.967,279.357,282.442,316.074,215.025,106.694,37.9632,33.2048,16.6421,22.983,13.5928,11.559,17.6578,121.643
"39",238.053,133.459,92.0867,38.0069,47.7706,56.8236,120.656,327.731,234.711,231.835,251.532,166.304,80.991,28.5405,24.8536,12.4331,17.1569,10.1437,8.62605,103.954
"40",124.878,204.872,114.84,79.2125,32.667,40.9829,48.5495,102.225,273.635,192.178,186.33,199.6,131.058,63.6161,22.385,19.481,9.74279,13.4429,7.94792,88.21
"41",731.158,107.482,176.329,98.8362,68.1648,28.1019,35.2266,41.6448,87.258,231.136,159.426,151.225,159.164,103.461,49.987,17.555,15.2657,7.63233,10.5309,75.3284
"42",1178.47,629.295,92.5047,151.745,85.0396,58.6236,24.1441,30.1981,35.5334,73.7918,192.717,130.676,122.123,127.289,82.31,39.6683,13.9152,12.0945,6.04682,68.0232
"43",2202.8,1014.29,541.601,79.6054,130.551,73.1153,50.3254,20.6522,25.6344,29.7564,60.6952,155.953,104.65,97.2855,101.162,65.3507,31.4821,11.0418,9.597,58.7749
"44",2078.32,1895.85,872.88,465.999,68.4605,112.147,62.6466,42.885,17.4236,21.3212,24.3971,49.2569,125.852,84.2264,78.207,81.2831,52.4977,25.2881,8.86935,54.9199
"45",437.826,1788.77,1631.62,751.095,400.781,58.7962,95.9559,53.146,35.8652,14.3574,17.405,19.8316,39.9745,102.076,68.3006,63.415,65.9077,42.5669,20.5045,51.7225
"46",471.095,376.826,1539.46,1403.99,646.044,344.377,50.3978,81.8032,44.8547,29.864,11.8113,14.2117,16.1346,32.4723,82.8676,55.4342,51.4639,53.4849,34.5436,58.613
