"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",140.242,106.216,72.3942,78.8261,148.235,95.6419,40.7117,29.5377,23.4027,18.5632,8.78745,6.54592,4.36468,4.42644,4.3507,4.16342,4.11588,4.14011,4.20816,4.25831
"2",323.914,120.707,91.4203,62.3096,67.8443,127.577,82.3018,35.0198,25.3812,20.0516,15.7826,7.32576,5.22185,3.22754,3.00394,2.7774,2.57752,2.51588,2.53069,5.17523
"3",179.867,278.795,103.894,78.6859,53.6299,58.3926,109.798,70.823,30.1242,21.8102,17.1806,13.4162,6.09916,4.13752,2.32684,1.91618,1.60571,1.41326,1.37946,4.22517
"4",282.05,154.813,239.961,89.4219,67.7253,46.1592,50.2576,94.4973,60.9453,25.9131,18.742,14.7215,11.4068,5.08183,3.28947,1.69939,1.26399,0.981792,0.864118,3.42688
"5",273.562,242.762,133.249,206.536,76.9661,58.2916,39.7293,43.256,81.3282,52.4438,22.2881,16.0979,12.5927,9.63966,4.14584,2.43453,0.993148,0.481704,0.374159,1.63529
"6",360.364,235.455,208.944,114.682,177.738,66.2126,50.0986,34.0513,36.812,68.2282,43.1831,18.0945,12.9785,10.1253,7.74352,3.32928,1.95481,0.797424,0.386773,1.61344
"7",664.646,310.081,202.507,179.487,98.2186,151.227,55.7131,41.6223,28.0275,30.1529,55.7694,35.2686,14.7736,10.5953,8.26563,6.3212,2.71774,1.59574,0.650949,1.6328
"8",676.619,571.872,266.637,173.852,153.472,83.3,126.782,46.2364,34.3438,23.0684,24.794,45.8416,28.9867,12.1416,8.70754,6.79292,5.19493,2.23351,1.31142,1.87685
"9",620.062,582.278,491.959,229.114,148.87,130.253,69.5793,104.222,37.6708,27.8844,18.7082,20.1003,37.1593,23.4958,9.84156,7.05801,5.50609,4.21081,1.8104,2.58429
"10",1015.67,533.662,501.089,423.229,196.927,127.63,110.928,58.4032,85.5682,30.304,22.1699,14.7998,15.8715,29.3224,18.5363,7.7636,5.56762,4.34337,3.32161,3.46666
"11",883.007,874.039,459.117,430.775,363.147,168.153,107.703,91.2246,45.8992,63.5971,21.5325,15.3574,10.1339,10.8162,19.9453,12.5994,5.27558,3.78295,2.95112,4.61233
"12",835.19,759.8,751.592,393.96,367.333,305.268,138.613,87.5506,73.7091,37.011,51.2497,17.3487,12.3727,8.16432,8.7139,16.0686,10.1506,4.25019,3.04768,6.09339
"13",1416.03,718.833,653.889,646.61,338.512,314.256,257.875,114.487,70.9564,59.2499,29.6755,41.0636,13.898,9.9113,6.54003,6.98025,12.8717,8.13107,3.4046,7.32242
"14",2155.76,1218.41,618.13,561.25,552.099,285.195,257.9,204.866,88.8582,54.47,45.2945,22.6532,31.3312,10.6024,7.56063,4.98884,5.32461,9.81869,6.20246,8.18268
"15",757.787,1854.52,1047.04,529.497,476.353,457.424,224.989,191.012,144.823,61.4362,37.346,30.9657,15.4721,21.3925,7.23839,5.16157,3.40579,3.63501,6.70303,9.82046
"16",651.737,652.147,1595.44,899.668,453.034,401.985,372.547,173.401,141.095,105.038,44.2972,26.8815,22.2783,11.1299,15.3882,5.20671,3.71281,2.44984,2.61472,11.8856
"17",1452.1,560.885,561.101,1371.75,772.005,386.722,339.097,308.2,140.661,113.077,83.7293,35.2391,21.3693,17.7056,8.84468,12.2283,4.13749,2.95036,1.94675,11.5226
"18",715.937,1249.72,482.652,482.699,1179.29,662.695,330.849,288.017,258.091,115.051,89.7503,64.6395,26.696,16.0219,13.2086,6.58319,9.09246,3.07512,2.1928,10.0109
"19",371.53,616.177,1075.5,415.303,415.196,1013.57,568.572,282.784,244.243,215.593,93.7629,70.8537,49.5058,20.0078,11.859,9.715,4.82751,6.65843,2.25192,8.93678
"20",542.908,319.773,530.326,925.589,357.348,357.087,870.645,486.876,240.323,204.143,174.955,73.3357,53.7707,36.9267,14.8061,8.74715,7.15652,3.55439,4.90246,8.238
"21",293.422,467.272,275.212,456.38,796.346,307.283,306.663,745.472,414.106,201.623,167.237,138.871,56.5134,40.6173,27.5976,11.0103,6.49032,5.30509,2.63485,9.74095
