"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd"
"1",1954,0,983.206,125.389,2536.85,152.344,2.03068,0.289828
"2",1955,0,992.755,118.511,2488.14,136.84,1.67722,0.221808
"3",1956,0,983.94,109.889,2431.96,121.263,1.33481,0.314197
"4",1957,0,959.738,100.444,2370.51,105.574,3.85765,0.634543
"5",1958,0,923.502,90.7716,2326.45,89.13,2.60008,0.218711
"6",1959,0,848.184,79.339,2282.62,72.3115,1.96107,0.143452
"7",1960,0,664.81,62.6661,2110.56,56.3758,1.83877,0.132277
"8",1961,0,373.562,46.5419,1679.02,40.2544,1.07611,0.10075
"9",1962,0,110.942,20.8366,1187.29,24.9586,2.05133,0.138804
"10",1963,0,113.844,9.60124,872.416,17.1625,1.05325,0.100887
"11",1964,0,130.479,8.94379,900.207,17.3975,0.960409,0.0947863
"12",1965,0,146.361,10.6532,869.719,17.4356,1.28726,0.1133
"13",1966,0,164.297,12.234,914.888,18.3562,1.37226,0.128042
"14",1967,0,164.899,11.5477,901.885,19.1049,2.90606,0.210229
"15",1968,0,163.127,10.36,831.799,19.5961,4.5303,0.279503
"16",1969,0,156.138,10.5832,875.454,22.1184,4.68803,0.289793
"17",1970,0,118.771,8.18797,863.922,25.082,6.19672,0.341476
"18",1971,0,92.9065,7.18483,953.394,30.0548,6.89334,0.360654
"19",1972,0,65.2368,7.2687,1054.76,36.1781,5.42198,0.307709
"20",1973,0,70.9703,7.61924,1350.92,44.4198,3.75451,0.242117
"21",1974,0,85.628,8.18518,1646.8,53.2557,5.04124,0.279176
"22",1975,0,138.707,11.1777,2045.47,64.3255,5.90777,0.300181
"23",1976,0,207.854,13.8093,2403.61,74.429,3.87535,0.230617
"24",1977,0,314.518,17.732,2762.35,84.0554,4.87078,0.263857
"25",1978,0,452.384,22.3897,3101.95,93.0709,3.18866,0.203592
"26",1979,0,598.613,27.569,3297.12,100.541,2.04125,0.15761
"27",1980,0,762.828,33.122,3509.47,107.164,3.96595,0.229087
"28",1981,0,917.815,38.4634,3699.59,112.708,2.97863,0.19418
"29",1982,0,1007.73,41.2295,3832.53,115.86,8.66761,0.384688
"30",1983,0,1136.27,45.2648,3806.4,116.474,1.60563,0.137524
"31",1984,0,1240.1,48.4835,4072.61,124.485,7.18288,0.335657
"32",1985,0,1307.56,51.7518,4096.1,128.345,2.48808,0.172341
"33",1986,0,1303.73,53.2881,3790.19,124.435,1.91265,0.146866
"34",1987,0,1307.43,55.3225,3771.37,128.08,2.6168,0.173111
"35",1988,0,1246.45,54.7981,3666.8,127.536,3.59439,0.208937
"36",1989,0,1222.42,55.7807,3753.52,133.886,3.60039,0.208488
"37",1990,0,1238.4,56.6648,3602.11,131.216,1.79928,0.13801
"38",1991,0,1334.21,59.4869,3730.13,134.89,2.02328,0.148716
"39",1992,0,1436.67,62.6695,3965.21,142.18,4.49198,0.246079
"40",1993,0,1492.12,64.9697,4039.59,145.578,2.67733,0.178643
"41",1994,0,1498.45,65.259,4087.32,147.069,2.25412,0.161552
"42",1995,0,1499.64,65.9456,3825.07,141.189,2.26038,0.161934
"43",1996,0,1418.78,63.5043,3719.15,138.595,5.55765,0.286572
"44",1997,0,1377.52,62.6793,3754.1,140.521,2.39729,0.166795
"45",1998,0,1294.9,60.5797,3429.78,133.039,1.98693,0.147716
"46",1999,0,1278.46,60.2193,3198.05,126.871,2.42631,0.163821
"47",2000,0,1257.9,59.5916,3241.81,127.012,3.39985,0.201224
"48",2001,0,1247.97,59.0179,3140.27,123.928,2.20477,0.154785
"49",2002,0,1242.11,58.5843,3175.14,123.96,2.97305,0.18898
"50",2003,0,1249.84,58.3282,3407.81,130.668,2.86234,0.187716
"51",2004,0,1286.43,59.1107,3644.53,137.854,4.41467,0.255297
"52",2005,0,1307.65,59.4476,3755.04,141.061,2.00088,0.157123
