Length,male,female,area,male,female,area,male,female,area,male,female,area,male,female,area,male,female
10,0,0,509,0,0,513,10,15,514,0,0,516,0,1,517,10,16
11,0,0,509,0,0,513,17,17,514,0,1,516,0,0,517,17,18
12,0,0,509,0,0,513,18,21,514,0,0,516,0,0,517,18,21
13,0,0,509,0,0,513,26,23,514,0,0,516,0,1,517,26,24
14,0,0,509,0,0,513,23,27,514,0,0,516,0,0,517,23,27
15,0,0,509,0,0,513,37,30,514,0,0,516,0,0,517,37,30
16,0,0,509,0,0,513,43,35,514,0,0,516,0,0,517,43,35
17,1,0,509,0,0,513,46,47,514,0,0,516,1,1,517,48,48
18,4,0,509,0,0,513,56,50,514,0,0,516,0,0,517,60,50
19,3,3,509,0,0,513,62,54,514,2,1,516,2,0,517,69,58
20,3,2,509,1,1,513,62,63,514,0,0,516,2,0,517,68,66
21,3,3,509,5,1,513,71,63,514,2,0,516,4,2,517,85,69
22,10,11,509,15,13,513,81,66,514,10,8,516,4,0,517,120,98
23,31,27,509,45,32,513,79,74,514,15,10,516,9,4,517,179,147
24,36,29,509,62,52,513,85,81,514,23,21,516,8,2,517,214,185
25,51,46,509,87,77,513,90,94,514,27,28,516,9,8,517,264,253
26,60,54,509,103,103,513,95,96,514,34,29,516,12,7,517,304,289
27,63,56,509,114,114,513,105,98,514,36,34,516,18,13,517,336,315
28,70,65,509,125,126,513,100,101,514,36,30,516,20,13,517,351,335
29,72,67,509,124,130,513,105,105,514,42,35,516,23,12,517,366,349
30,74,70,509,127,128,513,105,99,514,40,39,516,19,15,517,365,351
31,74,67,509,115,135,513,112,100,514,44,36,516,19,15,517,364,353
32,73,69,509,128,139,513,112,108,514,44,41,516,21,15,517,378,372
33,71,67,509,119,140,513,113,105,514,39,40,516,21,21,517,363,373
34,75,76,509,113,139,513,108,113,514,42,42,516,16,14,517,354,384
35,67,77,509,106,138,513,111,115,514,39,44,516,15,17,517,338,391
36,64,73,509,92,139,513,109,112,514,31,37,516,11,16,517,307,377
37,57,74,509,79,133,513,99,111,514,29,40,516,7,12,517,271,370
38,40,65,509,64,126,513,89,116,514,24,36,516,7,14,517,224,357
39,27,61,509,51,104,513,66,107,514,17,30,516,4,13,517,165,315
40,11,48,509,30,90,513,37,109,514,10,28,516,5,6,517,93,281
41,9,36,509,25,72,513,21,94,514,4,21,516,2,6,517,61,229
42,8,27,509,13,61,513,10,73,514,2,14,516,4,5,517,37,180
43,9,15,509,8,39,513,13,39,514,0,9,516,5,3,517,35,105
44,13,9,509,9,22,513,7,26,514,0,4,516,5,5,517,34,66
45,11,9,509,4,12,513,10,16,514,0,3,516,5,4,517,30,44
46,11,12,509,5,10,513,11,10,514,0,2,516,6,3,517,33,37
47,10,10,509,6,10,513,8,11,514,0,2,516,6,4,517,30,37
48,11,12,509,5,7,513,7,6,514,0,0,516,2,3,517,25,28
49,4,11,509,2,6,513,4,6,514,1,0,516,3,4,517,14,27
50,3,6,509,1,0,513,2,3,514,0,0,516,0,0,,6,9
