Year,Benthic urochordata,Bivalves,Brittle star ,Capelin,Corals Bryozoans,Deep sea smelts,Eelpouts,Eulachon,Giant Grenadier,Gunnels,Hermit crab unidentified,Invertebrate unid.,Large Sculpins,Bigmouth Sculpin,Great Sculpin,Hemilepidotus Unid.,Myoxocephalus Unid.,Plain Sculpin,Red Irish Lord,Warty Sculpin,Yellow Irish Lord,Misc crabs,Misc crustaceans,Misc fish,Other osmerids,Other Sculpins,Pandalid shrimp,Polychaete unid.,Scypho jellies,Sea anemone,Sea star,Snails,Sponge unid.,urchins dollars cucumbers
2003,"1,671",1,34,0,0,0,19,0,0,0,87,556,238,0,0,0,0,0,0,0,0,14,0,95,4,"1,157",0,0,111,6,"1,941",118,11,2
2004,"1,701",1,32,4,0,0,12,0,0,0,51,625,823,0,0,0,0,0,0,0,0,21,0,91,4,131,0,0,298,6,"1,867",191,6,0
2005,674,1,28,0,1,0,7,0,0,0,83,421,"1,057",0,0,0,0,0,0,0,0,11,0,66,0,105,0,0,115,2,"1,611",69,12,2
2006,520,0,19,0,9,0,4,0,0,0,26,177,"1,058",0,0,0,0,0,0,0,0,10,2,42,0,68,0,0,46,4,"1,308",141,3,0
2007,114,0,7,0,0,0,2,5,0,0,35,40,"2,269",0,0,0,0,0,0,0,0,28,1,71,35,195,0,0,42,8,"1,462",95,0,3
2008,347,1,18,0,8,0,5,0,0,0,36,70,0,47,"1,203",0,129,"1,273",0,68,133,14,0,66,9,38,0,0,145,24,"1,828",139,6,4
2009,204,1,5,0,0,0,5,0,0,0,15,30,0,26,"1,346",0,4,914,0,49,145,11,1,48,0,74,0,0,223,25,683,57,69,7
2010,155,1,4,0,0,0,5,0,0,0,16,25,0,0,0,0,0,0,0,0,0,12,0,29,2,0,0,0,152,20,794,57,16,1
2011,133,1,14,3,0,0,29,0,0,0,15,65,0,0,0,0,0,0,0,0,0,20,0,39,2,0,2,0,307,14,"1,673",74,15,0
2012,140,0,13,2,0,0,14,0,0,0,9,121,0,0,0,0,0,0,0,0,0,19,0,54,4,0,0,0,179,6,"1,732",33,14,0
2013,197,1,5,0,3,0,51,0,0,0,6,25,0,0,0,0,0,0,0,0,0,39,0,46,1,0,2,2,463,23,"1,372",46,16,0
2014,116,0,11,1,0,0,69,0,0,0,8,44,0,0,0,0,0,0,0,0,0,20,0,26,9,0,0,0,804,5,"2,106",33,1,0
2015,260,1,11,1,0,0,30,0,0,0,4,6,0,0,0,0,0,0,0,0,0,22,0,36,4,0,0,0,381,4,"2,247",36,2,0
2016,225,0,6,0,0,0,56,2,0,0,2,7,0,0,0,0,0,0,0,0,0,13,0,30,5,0,0,0,67,1,"2,050",24,1,0
2017,319,0,2,0,0,0,8,0,0,0,2,11,0,0,0,0,0,0,0,0,0,15,0,42,2,0,0,0,93,2,"1,616",24,2,2
2018,214,0,2,0,1,0,26,0,11,0,0,3,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,2,146,2,"1,490",14,3,0
2019,137,1,2,0,0,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,20,13,0,0,0,227,3,"1,312",14,2,2
