Year,TAC,ABC,Total catch
1980,117000,169000,87391
1981,117000,214500,97301
1982,117000,214500,95712
1983,117000,214500,108385
1984,230000,310000,159526
1985,229900,310000,227107
1986,209500,230000,208597
1987,187000,187000,181428
1988,254000,254000,223156
1989,182675,241000,153170
1990,207650,278900,80584
1991,135000,250600,95000
1992,235000,372000,159038
1993,220000,238000,106101
1994,150325,230000,144544
1995,190000,277000,124740
1996,200000,278000,129659
1997,230000,233000,181389
1998,220000,220000,101201
1999,207980,212000,67320
2000,123262,191000,83850
2001,113000,176000,63395
2002,86000,115000,72999
2003,83750,114000,74418
2004,86075,114000,69046
2005,90686,124000,94683
2006,95701,121000,99068
2007,136000,225000,121029
2008,225000,248000,148894
2009,210000,210000,107528
2010,219000,219000,118624
2011,196000,239000,151164
2012,202000,203000,147183
2013,198000,206000,164944
2014,184000,239800,156778
2015,149000,248800,126933
2016,144000,211700,130500
2017,154000,260800,132297
2018,154000,277500,146500
