Year,month,day,Weight,vessel type,vessel type,vessel type,latitude,longitude,Month
2019,1,1,45.85,1,1,1,59.629,-173.486,January
2019,1,1,4.04,1,1,1,54.878,-164.938,January
2019,1,1,2.94,1,1,1,54.925,-164.918,January
2019,1,1,8.33,1,1,1,61.223,-175.116,January
2019,1,2,9.36,1,1,1,54.947,-164.897,January
2019,1,2,8.48,1,1,1,60.106,-174.363,January
2019,1,2,3.69,1,1,1,54.879,-164.838,January
2019,1,2,8.97,1,1,1,54.927,-164.878,January
2019,1,2,8.33,1,1,1,61.231,-175.148,January
2019,1,2,32.07,3,3,3,55.16,-164.427,January
2019,1,2,40.86,1,1,1,54.913,-164.858,January
2019,1,2,127.74,3,3,3,55.711,-163.517,January
2019,1,3,44.88,1,1,1,60.389,-173.775,January
2019,1,3,7.23,1,1,1,59.172,-173.498,January
2019,1,3,31.12,1,1,1,54.923,-164.923,January
2019,1,3,35.69,1,1,1,55.442,-164.1,January
2019,1,3,48.88,3,3,3,55.158,-164.428,January
2019,1,3,9.16,3,3,3,55.158,-164.428,January
2019,1,3,2.87,1,1,1,56.793,-170.471,January
2019,1,3,22.38,1,1,1,59.647,-173.555,January
2019,1,3,43.87,1,1,1,55.433,-164.058,January
2019,1,3,4.45,1,1,1,54.9,-164.91,January
2019,1,3,4.33,1,1,1,54.916,-164.928,January
2019,1,3,3.24,3,3,3,54.437,-165.026,January
2019,1,3,23.22,1,1,1,55.425,-164.1,January
2019,1,4,3.46,3,3,3,,,January
2019,1,4,12.71,3,3,3,,,January
2019,1,4,2.07,1,1,1,56.849,-170.415,January
2019,1,4,26.74,1,1,1,59.603,-173.602,January
2019,1,4,74.18,3,3,3,55.702,-163.423,January
2019,1,4,28.96,1,1,1,55.408,-164.058,January
2019,1,4,50.1,1,1,1,55.425,-164.058,January
2019,1,4,7.54,1,1,1,54.977,-164.895,January
2019,1,4,94.39,3,3,3,55.711,-163.517,January
2019,1,4,8.75,1,1,1,56.971,-170.566,January
2019,1,4,15.11,3,3,3,54.437,-165.026,January
2019,1,4,20.64,1,1,1,55.425,-164.133,January
2019,1,4,2.71,1,1,1,59.432,-173.48,January
2019,1,4,3.7,1,1,1,54.948,-164.928,January
2019,1,4,42.4,3,3,3,55.194,-164.286,January
2019,1,5,3.97,1,1,1,55.442,-164.142,January
2019,1,5,57.71,3,3,3,55.158,-164.428,January
2019,1,5,10.17,1,1,1,59.98,-174.473,January
2019,1,5,6.55,1,1,1,59.563,-173.883,January
2019,1,5,6.02,1,1,1,56.91,-170.461,January
2019,1,5,19.19,1,1,1,56.203,-161.953,January
2019,1,5,4.33,3,3,3,54.47,-164.981,January
2019,1,5,27.08,1,1,1,60.431,-174.164,January
2019,1,5,11.67,1,1,1,56.971,-170.566,January
2019,1,5,13.46,3,3,3,54.711,-165.123,January
2019,1,5,7.48,3,3,3,54.707,-165.116,January
2019,1,5,0.68,3,3,3,54.504,-165.042,January
2019,1,5,14.07,1,1,1,55.425,-164.133,January
2019,1,5,125.43,1,1,1,56.171,-161.958,January
2019,1,5,26.75,3,3,3,55.217,-164.381,January
2019,1,5,27.09,1,1,1,55.408,-164.058,January
2019,1,6,136.49,3,3,3,55.684,-163.529,January
2019,1,6,9.85,1,1,1,55.333,-163.75,January
2019,1,6,83.8,1,1,1,55.358,-163.742,January
2019,1,6,3.35,1,1,1,61.498,-175.298,January
2019,1,6,110.95,1,1,1,55.35,-163.708,January
2019,1,6,2.33,1,1,1,56.953,-170.744,January
2019,1,6,7.64,1,1,1,59.607,-173.805,January
2019,1,6,86.26,1,1,1,56.553,-166.798,January
2019,1,6,13.86,3,3,3,55.267,-164.381,January
2019,1,6,58.79,1,1,1,56.229,-161.889,January
2019,1,6,7.47,3,3,3,54.705,-165.12,January
2019,1,6,4.24,1,1,1,59.935,-174.446,January
2019,1,7,26.18,1,1,1,60.328,-174.076,January
2019,1,7,4.29,1,1,1,57.046,-170.753,January
2019,1,7,996.67,1,1,1,57.749,-170.438,January
2019,1,7,320.16,1,1,1,56.279,-161.803,January
2019,1,7,151.61,3,3,3,55.682,-163.531,January
2019,1,7,288.44,1,1,1,56.772,-167.52,January
