"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"86",0,0,0,0,0,0,0,0,0,0,0,0,2649.781,3554.918,2605.22,5676.734,3200.99,4102.968,73.248,97.85927,3166.33816,2073.76002,1360.43502,2688.57582,6602.2135,7798.85255,4029.79652,6261.43556,8214.14552
"87",0,0,0,0,0,0,0,0,0,0,0,0,6893.338,2745.743,2023.442,1917.253,892.518,3283.987,30.742,372.84006,2042.95277,9806.64445,10562.61964,22503.66507,8842.76543,11355.6939,3724.56991,6891.774,1345.42178
"88",0,0,0,0,0,0,0,0,0,0,0,0,1519.831,1239.561,56.449,92.125,1344.722,800.562,157.376,40.86842,41.29799,11247.9045,1120.78851,2555.49541,4008.44952,1552.2386,550.96774,1043.24273,60.09902
"89",0,0,0,0,0,0,0,0,0,0,0,0,20.943,6.197,0,204.737,821.905,8.511,237.967,20.6111,11.66429,0,0,5.46877,23.65378,21.63882,0.64407,223.27866,94.47791
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.336,1.8808,3.79189,0,0,0,0,2.33513,0,242.70411,176.5146
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077769301
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0.008648108
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156645791,0,0,0
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252553,0,0,0
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0.130707381,0.003240269,0.001083345,0.286316013
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071531655,0,0,6.0924e-05
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.337113906,0,0.017156702,0.595935717
"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005926405,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0.007,2.791,5.118,0,0,0,0,0,0.05875,0.00113,0,0,0,0.623696791,0.02059,1.77969,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0.088,7.881,3.381,0.009,0.001,0.003,0,0.00786,0,0.0881,0,0.000974271,0.03178,0.16623649,0.04225771,0,0.003290299
"101",0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.008,0.016,0.007,0,0.109,0,2.59e-05,0,0.000181437,0,0,0.03761,0.000136621,0.034068768,0,0
"102",0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.338,0.28,5.732,6.826,110.627,1.865,0.61027,0.000530692,10.263222996,46.314208635,0.00113,0,1.15347,2.1674423,244.17834,0.205324548
"103",0,0,0,0,0,0,0,0,0,0,0,0,101.733,98.839,84.901,121.811,8200.682,1846.067,1161.858,6225.48784,715.53121,724.5717,6520.308219161,1463.925626772,1769.24271,240.001641192,1151.50598512,2456.45892778,449.68699216
"104",0,0,0,0,0,0,0,0,0,0,0,0,1200.573,152.278,96.79,1832.92,2183.758,2692.935,56.502,12.60861,162.91762,40.1915,111.21303,438.40935,260.86652,1015.292158517,4336.42039,5346.72103,6745.13819
"105",0,0,0,0,0,0,0,0,0,0,0,0,6625.561,710.216,1622.119,4399.091,15.15,1876.799,0,93.32282,0,3246.40549,9113.17498,5753.51727,7222.36253,5896.295,2223.7482,5125.12005,4572.65148
"106",0,0,0,0,0,0,0,0,0,0,0,0,1568.842,1191.417,60.242,18.481,440.711,209.51,74.03,113.77324,8.22e-06,11226.13294,5799.49391,4869.94002,14424.51791,3452.15908,2479.2447,1931.66221,507.75927
"107",0,0,0,0,0,0,0,0,0,0,0,0,46.593,0.111,0,6.687,4.375,0.746,0,5.51993,0,16.25853,3.74233,14.90601,85.79879,231.74221,0,3.12285,30.39065
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.383,0,0.759,10.493,0.39555,0,0,0,0.48767,0,0,0,5.62269,0.51694
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24204,0,0,0,0,0
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32558
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000912485,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01726099,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269729193,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002822475,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002253424,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,0,0,0.394,0,0,0,0,0,0,0.0743,0.0122741,0,0,0.101032874
"117",0,0,0,0,0,0,0,0,0,0,0,0,0.176,4.33,0.001,0.555,0,0.264,0.079,0.04424,0.26358,0.03947,3.73276,0.01517,0.09905,0.067910523,0.74436,0.18292,0.21889
"118",0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.353,0.206,3.208,0.01,0.236,0.138,0.306226361,0.22014684,1.41001,1.06739349,0.10286,0,1.303339077,0.866625614,0.755736227,0.178831434
