Length,2017 males,2017 females,2019 males,2019 females
50,0,,,184570
60,631543,257924,,472900
70,3398947,1066578,,254416
80,2767405,1506577,289340,1950467
90,2897743,4398500,2882653,1387579
100,5369744,10698595,5523069,3442733
110,10612739,6677736,10250790,10863686
120,20786165,12923976,13086862,12385721
130,25466147,21080111,27814440,19849416
140,27624954,19815272,39549547,31471028
150,33099054,15052990,48907262,46711045
160,30003181,24542012,56483540,50328550
170,37068824,34241738,55278274,48695659
180,47175041,34535115,46864372,43641213
190,55397994,46878737,50615517,44556507
200,66918616,56507970,55098062,47671721
210,66103721,65468674,44437357,46854715
220,76865553,74978231,42046023,44310508
230,63663487,69794485,40878016,40833360
240,38766290,56315382,33494034,32263990
250,29037628,33200381,29221977,34478547
260,20633473,21235468,27885274,29579720
270,14427312,20421879,31210860,29406938
280,11762875,16958072,29793192,26943150
290,9117292,11266428,38586318,26048422
300,11267015,13362391,30734271,27335474
310,13443815,12470150,35429932,28707233
320,14423433,10253488,26721011,30397191
330,20296829,14367166,21618577,26167548
340,27884380,17920987,28292799,27784836
350,35562720,26005379,36618792,27430672
360,32726977,31244403,32401699,28982660
370,22046800,29574983,26172171,30113418
380,17660900,30786312,15555356,36904742
390,9165021,19776270,12143869,29034739
400,3723843,16452074,6773732,18445093
410,2534698,9762921,1738860,12215511
420,669211,3613991,123126,8633812
430,831875,2032888,386516,3997017
440,,2098470,825036,2048362
450,,1164693,0,1197737
460,,514914,0,1022258
470,,296080,0,292195
480,,,0,173411
490,,,0,173411
500,,,,
