"","Year","ADFG_STAT_AREA_CODE","Catch","Longitude","Latitude"
"1","1991","595632","0",-159.5,56.75
"2","1991","595801","0",-159.5,58.25
"3","1991","595802","0",-159.5,58.25
"4","1991","595831","0",-159.5,58.75
"5","1991","595832","0",-159.5,58.75
"6","1991","605534","0",-160.5,55.75
"7","1991","605601","0",-160.5,56.25
"8","1991","605630","0",-160.5,56.75
"9","1991","605700","0",-160.5,57.25
"10","1991","605730","0",-160.5,57.75
"11","1991","615601","0",-161.5,56.25
"12","1991","615630","0",-161.5,56.75
"13","1991","615700","0",-161.5,57.25
"14","1991","615730","0",-161.5,57.75
"15","1991","615800","0",-161.5,58.25
"16","1991","625503","0",-162.5,55.25
"17","1991","625504","0",-162.5,55.25
"18","1991","625531","0",-162.5,55.75
"19","1991","625600","0",-162.5,56.25
"20","1991","625630","0",-162.5,56.75
"21","1991","625700","0",-162.5,57.25
"22","1991","625730","0",-162.5,57.75
"23","1991","625800","0.024",-162.5,58.25
"24","1991","625831","0",-162.5,58.75
"25","1991","625901","0",-162.5,59.25
"26","1991","635431","0",-163.5,54.75
"27","1991","635501","0",-163.5,55.25
"28","1991","635503","0",-163.5,55.25
"29","1991","635504","0",-163.5,55.25
"30","1991","635530","0",-163.5,55.75
"31","1991","635600","0",-163.5,56.25
"32","1991","635630","0",-163.5,56.75
"33","1991","635700","0",-163.5,57.25
"34","1991","635730","0",-163.5,57.75
"35","1991","635800","0",-163.5,58.25
"36","1991","635830","0",-163.5,58.75
"37","1991","635900","0",-163.5,59.25
"38","1991","635931","0",-163.5,59.75
"39","1991","645410","0",-164.5,54.75
"40","1991","645411","0",-164.5,54.75
"41","1991","645433","0",-164.5,54.75
"42","1991","645434","0",-164.5,54.75
"43","1991","645435","0.198",-164.5,54.75
"44","1991","645500","1263.092",-164.5,55.25
"45","1991","645501","4448.172",-164.5,55.25
"46","1991","645502","4747.721",-164.5,55.25
"47","1991","645530","2012.237",-164.5,55.75
"48","1991","645600","0",-164.5,56.25
"49","1991","645630","2930.03383",-164.5,56.75
"50","1991","645700","1608.47423",-164.5,57.25
"51","1991","645730","792.87695",-164.5,57.75
"52","1991","645800","3141.19083",-164.5,58.25
"53","1991","645830","6716.87383",-164.5,58.75
"54","1991","645900","7443.28671",-164.5,59.25
"55","1991","645931","8138.26367",-164.5,59.75
"56","1991","655406","1678.38069",-165.5,54.25
"57","1991","655407","3743.134239164",-165.5,54.25
"58","1991","655408","2152.65617",-165.5,54.25
"59","1991","655409","0",-165.5,54.25
"60","1991","655410","0",-165.5,54.75
"61","1991","655411","0",-165.5,54.75
"62","1991","655430","0",-165.5,54.75
"63","1991","655431","0",-165.5,54.75
"64","1991","655500","0",-165.5,55.25
"65","1991","655501","0",-165.5,55.25
"66","1991","655530","0",-165.5,55.75
"67","1991","655600","0",-165.5,56.25
"68","1991","655630","0",-165.5,56.75
"69","1991","655700","0",-165.5,57.25
"70","1991","655730","0",-165.5,57.75
"71","1991","655800","0",-165.5,58.25
"72","1991","655830","0",-165.5,58.75
"73","1991","655900","0",-165.5,59.25
"74","1991","655931","0",-165.5,59.75
"75","1991","665335","0",-166.5,53.75
"76","1991","665336","4.959",-166.5,53.75
"77","1991","665337","0",-166.5,53.75
"78","1991","665401","0",-166.5,54.25
"79","1991","665403","0",-166.5,54.25
"80","1991","665404","0",-166.5,54.25
"81","1991","665430","0",-166.5,54.75
"82","1991","665500","0",-166.5,55.25
"83","1991","665530","34.68537",-166.5,55.75
"84","1991","665600","0",-166.5,56.25
