"","Year","HM_Fmsyr","AM_Fmsyr","GM_Biom","Catch_Assump","ABC_HM","OFL_AM","Bmsy","SSB","Adjust","CV_Biom","CV_SSB","ABC_T3","OFL_T3","peel","retros"
"1",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-10,"retro"
"2",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-10,"retro"
"3",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-10,"retro"
"4",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-10,"retro"
"5",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-10,"retro"
"6",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-10,"retro"
"7",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-10,"retro"
"8",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-10,"retro"
"9",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-10,"retro"
"10",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-10,"retro"
"11",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-10,"retro"
"12",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-10,"retro"
"13",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-10,"retro"
"14",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-10,"retro"
"15",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-10,"retro"
"16",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-10,"retro"
"17",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-10,"retro"
"18",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-10,"retro"
"19",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-10,"retro"
"20",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-10,"retro"
"21",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-10,"retro"
"22",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-10,"retro"
"23",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-10,"retro"
"24",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-10,"retro"
"25",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-10,"retro"
"26",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-10,"retro"
"27",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-10,"retro"
"28",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-10,"retro"
"29",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-10,"retro"
"30",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-10,"retro"
"31",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-1,"retro"
"32",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-1,"retro"
"33",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-1,"retro"
"34",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-1,"retro"
"35",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-1,"retro"
"36",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-1,"retro"
"37",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-1,"retro"
"38",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-1,"retro"
"39",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-1,"retro"
"40",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-1,"retro"
"41",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-2,"retro"
"42",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-2,"retro"
"43",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-2,"retro"
"44",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-2,"retro"
"45",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-2,"retro"
"46",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-2,"retro"
"47",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-2,"retro"
"48",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-2,"retro"
"49",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-2,"retro"
"50",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-2,"retro"
"51",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-3,"retro"
"52",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-3,"retro"
"53",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-3,"retro"
"54",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-3,"retro"
"55",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-3,"retro"
"56",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-3,"retro"
"57",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-3,"retro"
"58",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-3,"retro"
"59",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-3,"retro"
"60",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-3,"retro"
"61",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-4,"retro"
"62",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-4,"retro"
"63",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-4,"retro"
"64",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-4,"retro"
"65",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-4,"retro"
"66",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-4,"retro"
"67",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-4,"retro"
"68",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-4,"retro"
"69",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-4,"retro"
"70",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-4,"retro"
"71",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-5,"retro"
"72",2021,0.10344,0.113592,2348.73,137.23,242.954,266.797,453.943,745.211,1,0.0834075,0.066636,173.714,202.026,-5,"retro"
"73",2022,0.10344,0.113592,2322.38,137.23,240.227,263.803,453.943,712.497,1,0.10007,0.0726327,172.415,197.652,-5,"retro"
"74",2023,0.10344,0.113592,2303.14,137.23,238.237,261.618,453.943,696.564,1,0.119031,0.0822373,175.373,198.766,-5,"retro"
"75",2024,0.10344,0.113592,2281.52,137.23,236.001,259.162,453.943,700.027,1,0.137979,0.0992488,176.823,198.38,-5,"retro"
"76",2025,0.10344,0.113592,2419.3,137.23,250.253,274.813,453.943,713.549,1,0.154483,0.123712,175.69,195.319,-5,"retro"
"77",2026,0.10344,0.113592,2618.57,137.23,270.866,297.449,453.943,726.382,1,0.16585,0.151032,175.78,194.161,-5,"retro"
"78",2027,0.10344,0.113592,2843.02,137.23,294.083,322.944,453.943,739.351,1,0.175753,0.176496,182.782,201.568,-5,"retro"
"79",2028,0.10344,0.113592,3082.31,137.23,318.835,350.126,453.943,764.594,1,0.185104,0.197368,198.355,219.225,-5,"retro"
"80",2029,0.10344,0.113592,3326.39,137.23,344.083,377.851,453.943,815.593,1,0.193953,0.21314,219.435,243.173,-5,"retro"
"81",2020,0.10344,0.113592,2321.39,137.23,240.125,263.691,453.943,778.786,1,0.0665414,0.0618778,183.671,217.525,-6,"retro"
