"","Year","Peel","SSB","SSB_sd","Totbio","Totbio_sd","Rec","Rec_sd","run"
"1",1954,0,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"2",1955,0,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"3",1956,0,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"4",1957,0,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"5",1958,0,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"6",1959,0,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"7",1960,0,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"8",1961,0,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"9",1962,0,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"10",1963,0,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"11",1964,0,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"12",1965,0,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"13",1966,0,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"14",1967,0,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"15",1968,0,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"16",1969,0,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"17",1970,0,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"18",1971,0,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"19",1972,0,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"20",1973,0,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"21",1974,0,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"22",1975,0,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"23",1976,0,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"24",1977,0,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
"25",1978,0,413.333,18.7956,2746.13,70.5373,2.72694,0.167584,"yfs_retro"
"26",1979,0,531.772,22.1104,2911.62,76.0391,1.74233,0.131091,"yfs_retro"
"27",1980,0,663.688,25.5796,3099.08,81.0066,3.37191,0.185276,"yfs_retro"
"28",1981,0,785.482,28.8775,3270.07,85.2298,2.51542,0.157599,"yfs_retro"
"29",1982,0,853.817,30.3351,3387.39,87.2945,7.2899,0.294529,"yfs_retro"
"30",1983,0,956.448,32.7034,3366.06,87.9943,1.34937,0.11289,"yfs_retro"
"31",1984,0,1037.19,34.4489,3597.53,93.7199,6.03681,0.260114,"yfs_retro"
"32",1985,0,1085.28,36.3109,3610.28,96.7305,2.08803,0.139733,"yfs_retro"
"33",1986,0,1072.29,37.061,3322.84,93.812,1.6038,0.119642,"yfs_retro"
"34",1987,0,1066.03,38.2882,3286.43,96.2225,2.19146,0.139631,"yfs_retro"
"35",1988,0,1008.21,37.8333,3191.39,96.2265,3.00491,0.166514,"yfs_retro"
"36",1989,0,981.091,38.46,3253.77,101.018,3.00665,0.166024,"yfs_retro"
"37",1990,0,992.275,38.9956,3118.97,99.3842,1.50318,0.112241,"yfs_retro"
"38",1991,0,1073.95,40.8247,3241.29,102.608,1.69057,0.1206,"yfs_retro"
"39",1992,0,1157.28,42.8702,3454.78,108.171,3.75504,0.194219,"yfs_retro"
"40",1993,0,1193.07,44.4143,3492.62,111.039,2.24147,0.143787,"yfs_retro"
"41",1994,0,1196.39,44.6169,3538.37,112.606,1.89179,0.131108,"yfs_retro"
"42",1995,0,1195.78,45.1612,3308.44,108.756,1.90407,0.131874,"yfs_retro"
"43",1996,0,1129.02,43.5523,3225.53,107.199,4.69665,0.226388,"yfs_retro"
"44",1997,0,1092.73,43.0576,3244.38,108.72,2.02933,0.136452,"yfs_retro"
"45",1998,0,1028.33,41.7323,2966.15,103.367,1.68411,0.121792,"yfs_retro"
"46",1999,0,1020.41,41.6128,2777.97,99.0144,2.06347,0.134772,"yfs_retro"
"47",2000,0,1007.34,41.294,2828.02,99.2569,2.89069,0.163908,"yfs_retro"
"48",2001,0,1003.53,40.9992,2751.65,97.331,1.87124,0.128846,"yfs_retro"
"49",2002,0,1002.12,40.7879,2793.39,97.5853,2.53639,0.156729,"yfs_retro"
"50",2003,0,1011.58,40.6868,3010.24,103.154,2.44556,0.156505,"yfs_retro"
"51",2004,0,1043.25,41.311,3222.04,108.976,3.81271,0.211775,"yfs_retro"
"52",2005,0,1059.98,41.6203,3326.66,111.979,1.68788,0.132496,"yfs_retro"
"53",2006,0,1081.37,42.4579,3299.88,112.236,1.92906,0.1516,"yfs_retro"
"54",2007,0,1087.17,43.0604,3295.22,113.786,2.3986,0.18453,"yfs_retro"
"55",2008,0,1062.84,43.0597,3144.84,111.689,2.2239,0.186737,"yfs_retro"
"56",2009,0,1027.08,42.6227,2961.96,108.8,2.59427,0.221578,"yfs_retro"
"57",2010,0,1002.26,42.3084,2991.29,111.189,3.69835,0.315401,"yfs_retro"
"58",2011,0,978.89,41.974,2997.54,113.581,1.26049,0.174601,"yfs_retro"
"59",2012,0,959.962,42.1801,2946.94,115.458,0.671084,0.137092,"yfs_retro"
"60",2013,0,947.229,42.875,2862.24,116.365,1.75547,0.292791,"yfs_retro"
"61",2014,0,901.37,42.9264,2637.93,112.885,2.64331,0.518386,"yfs_retro"
"62",2015,0,888.472,44.1982,2630.7,118.165,3.92014,1.03275,"yfs_retro"
"63",2016,0,884.057,45.6318,2754.15,129.367,3.02667,1.50122,"yfs_retro"
"64",2017,0,859.657,46.3463,2672.27,133.529,2.13396,1.41784,"yfs_retro"
"65",2018,0,855.966,48.0858,2748.76,150.23,2.33455,1.65124,"yfs_retro"
"66",2019,0,867.221,50.7065,2786.33,170.424,2.35635,1.68038,"yfs_retro"
"67",1954,1,965.158,125.231,2484.65,150.51,1.94993,0.302026,"yfs_retro"
"68",1955,1,974.459,118.628,2451.51,135.354,1.38866,0.358587,"yfs_retro"
"69",1956,1,965.754,110.28,2408.74,118.694,0.951048,0.21466,"yfs_retro"
"70",1957,1,941.927,101.091,2356.3,101.17,3.22487,0.360685,"yfs_retro"
"71",1958,1,906.162,91.643,2315.22,83.508,2.35051,0.189741,"yfs_retro"
"72",1959,1,832.051,80.3595,2268.91,66.9271,1.81088,0.132573,"yfs_retro"
"73",1960,1,652.714,63.4862,2090.6,52.5558,1.71342,0.122191,"yfs_retro"
"74",1961,1,361.924,44.4858,1649.19,38.3599,0.991699,0.0923027,"yfs_retro"
"75",1962,1,45.7095,21.9719,1140.42,24.7439,1.88664,0.125469,"yfs_retro"
"76",1963,1,11.8603,6.3099,801.564,16.2311,0.993851,0.0947979,"yfs_retro"
"77",1964,1,24.6204,8.90595,843.483,16.4884,0.920333,0.0889508,"yfs_retro"
"78",1965,1,48.3918,11.417,838.642,16.4293,1.19106,0.104112,"yfs_retro"
"79",1966,1,86.0209,13.4654,887.269,17.3219,1.21421,0.111661,"yfs_retro"
"80",1967,1,118.571,13.0219,876.553,17.9159,2.54748,0.175772,"yfs_retro"
"81",1968,1,139.155,12.5742,803.736,17.9078,3.89245,0.228124,"yfs_retro"
"82",1969,1,143.969,14.1444,838.578,19.7108,3.98456,0.235905,"yfs_retro"
"83",1970,1,113.134,9.29356,811.896,21.3468,5.25379,0.274496,"yfs_retro"
"84",1971,1,97.6957,7.05274,876.63,24.6442,5.8402,0.287899,"yfs_retro"
"85",1972,1,80.0979,6.66613,948.363,28.8037,4.59227,0.2477,"yfs_retro"
"86",1973,1,81.6196,7.21945,1203.68,34.7577,3.1814,0.197379,"yfs_retro"
"87",1974,1,90.6866,7.79174,1455.07,41.2423,4.27908,0.224891,"yfs_retro"
"88",1975,1,143.051,10.3837,1816.73,49.4961,5.02676,0.240132,"yfs_retro"
"89",1976,1,203.863,12.5575,2129.02,56.8596,3.30642,0.188317,"yfs_retro"
"90",1977,1,296.593,15.5959,2445.17,63.9194,4.16333,0.213705,"yfs_retro"
