"SPECIES_CODE","YEAR","STRATUM","SEX","AGE","AGEPOP","MEANLEN","SDEV","SPECIES_NAME","COMMON_NAME"
10210,1982,10,1,2,52776738.5666667,101.785183540301,10.2253302797514,"Limanda aspera","yellowfin_sole"
10210,1982,10,1,5,1343443396.4419,196.095507303592,21.1201813888991,"Limanda aspera","yellowfin_sole"
10210,1982,10,1,8,1199725590.31972,234.136872184408,24.4543609683426,"Limanda aspera","yellowfin_sole"
10210,1982,10,1,6,1295746322.51137,216.553228184073,23.8813047771683,"Limanda aspera","yellowfin_sole"
10210,1982,10,1,15,5889534.57142857,330.440896348297,16.0088045068956,"Limanda aspera","yellowfin_sole"
10210,1982,10,1,19,511069.5,360,0,"Limanda aspera","yellowfin_sole"
10210,1982,20,1,11,37795586.2192967,257.827039359,27.1728906445376,"Limanda aspera","yellowfin_sole"
10210,1982,20,1,14,25258058.5807526,288.162987889437,18.7083838096721,"Limanda aspera","yellowfin_sole"
10210,1982,32,1,4,11051.5789473684,210,0,"Limanda aspera","yellowfin_sole"
10210,1982,32,1,-9,0,NA,NA,"Limanda aspera","yellowfin_sole"
10210,1982,41,1,16,285195.242424242,323.066931394049,7.09093604046744,"Limanda aspera","yellowfin_sole"
10210,1982,42,1,5,546992.489292751,229.299204096931,17.8447277037225,"Limanda aspera","yellowfin_sole"
10210,1982,42,1,13,1657513.76260341,278.184241724152,17.792964899926,"Limanda aspera","yellowfin_sole"
10210,1982,42,1,19,0,NA,NA,"Limanda aspera","yellowfin_sole"
10210,1982,50,1,13,64159.3544690604,296.331462692652,22.1054241008853,"Limanda aspera","yellowfin_sole"
10210,1982,61,1,7,0,NA,NA,"Limanda aspera","yellowfin_sole"
10210,1982,999999,1,-9,6586137,260.855641174789,131.073429655899,"Limanda aspera","yellowfin_sole"
10210,1983,10,1,4,46752350.7380952,130.818636890838,11.7593698606686,"Limanda aspera","yellowfin_sole"
10210,1983,10,1,12,458383362.518411,273.078281532641,19.0088218338223,"Limanda aspera","yellowfin_sole"
10210,1983,10,1,16,46969257.7444444,292.959540306146,16.9180805436078,"Limanda aspera","yellowfin_sole"
10210,1983,10,1,17,29246072.8,289.752699172656,22.4344334971935,"Limanda aspera","yellowfin_sole"
