,Flounder,Greenland Turbot,Non TAC Species,Northern Rockfish,Octopus,Other,Other Flatfish,Other Rockfish,Other Species,Pacific Cod
1992,"16,826",0,0,0,0,"7,990",0,0,0,"8,700"
1993,"9,620",4,0,0,0,"3,847",0,0,0,"8,723"
1994,"12,422",4,0,0,0,"3,983",0,0,0,"16,415"
1995,0,67,0,0,0,"2,904","12,239",3,0,"13,181"
1996,0,8,0,0,0,"2,565","10,962",22,0,"8,684"
1997,0,4,0,0,0,"4,754","17,222",12,0,"12,825"
1998,0,103,0,0,0,"3,570","9,182",1,0,"10,233"
1999,0,69,21,0,0,"2,765","11,449",3,0,"4,383"
2000,0,23,188,0,0,"3,641","10,286",3,0,"5,192"
2001,0,32,173,0,0,"3,969","6,844",0,0,"6,531"
2002,0,2,165,0,0,"4,946",519,0,0,"6,259"
2003,0,3,0,0,0,0,0,0,"3,002","4,634"
2004,0,0,0,0,0,0,0,2,"1,602","3,574"
2005,0,6,0,3,0,0,0,0,"2,136","3,769"
2006,0,8,0,0,0,0,0,0,"2,297","2,545"
2007,0,0,0,0,0,0,0,0,"3,996","2,519"
2008,0,0,0,0,0,0,0,0,"4,191","5,767"
2009,0,3,0,0,0,0,0,0,"4,346","10,716"
2010,0,1,0,0,0,0,0,0,"3,561","11,117"
2011,0,5,0,0,1,0,0,0,0,"16,204"
2012,0,5,0,0,1,0,0,0,0,"19,380"
2013,0,35,0,0,0,0,0,0,0,"24,339"
2014,0,56,0,0,0,0,0,0,0,"15,218"
2015,0,42,0,0,0,0,0,0,0,"12,168"
2016,0,7,0,0,0,0,0,0,0,"11,985"
2017,0,8,0,0,0,0,0,0,0,"14,648"
2018,0,26,0,0,0,0,0,0,0,"12,570"
2019,0,6,0,0,0,0,0,0,0,"11,769"
2020,0,12,0,0,0,0,0,0,0,"12,062"
2021,0,2,0,0,0,0,0,0,0,"7,859"
