Year,Biomass (t),lower CI,upper CI,Haul count,hauls with catch,number count,length count
2010,"310,617","215,238","405,997",108,88,88,88
2017,"368,156","254,797","481,515",110,98,98,97
2018,"373,373","240,861","505,885",49,49,49,49
2019,"520,029","398,122","641,936",144,141,141,140
