"","509","513","514","516","517","521","524"
"7",0,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",0,0,7,0,0,0,0
"10",0,0,6,0,0,0,0
"11",0,0,11,0,0,0,0
"12",0,0,11,0,0,0,0
"13",0,0,25,0,0,0,0
"14",0,0,21,0,0,0,0
"15",0,1,38,0,0,0,0
"16",0,0,41,0,0,0,0
"17",1,1,54,0,0,0,0
"18",2,6,59,0,0,0,0
"19",2,6,77,0,2,2,0
"20",32,20,72,1,3,7,0
"21",56,60,103,2,1,17,2
"22",158,117,126,12,13,22,1
"23",227,190,151,30,25,23,6
"24",390,367,196,54,29,68,5
"25",503,470,252,80,43,91,12
"26",698,706,275,85,82,158,15
"27",879,879,414,76,107,208,36
"28",1188,1152,446,110,110,220,62
"29",1284,1522,634,156,136,249,42
"30",1886,2064,869,205,185,331,60
"31",2291,2796,1211,252,217,383,62
"32",2964,3575,1625,302,247,456,75
"33",3151,4065,1967,405,248,450,94
"34",3020,4134,2133,428,257,555,128
"35",2580,3790,1985,338,262,589,136
"36",1949,2855,1757,284,195,606,140
"37",1283,2079,1548,201,139,546,141
"38",751,1230,859,108,99,469,111
"39",404,682,562,63,64,383,82
"40",217,312,292,24,24,207,40
"41",93,131,167,10,24,129,42
"42",48,71,67,6,6,82,9
"43",35,37,40,2,5,46,9
"44",14,23,19,2,0,19,7
"45",9,7,7,0,1,19,1
"46",6,4,1,2,2,6,5
"47",0,5,6,0,3,4,1
"48",2,1,5,0,0,14,1
"49",0,3,2,0,0,8,0
"50",0,0,2,0,0,2,0
"51",0,0,0,0,0,3,0
"52",0,0,0,0,0,0,0
"53",0,0,1,0,0,2,0
"54",0,0,0,0,0,0,0
"55",0,0,2,0,0,0,0
"56",0,0,0,0,0,2,0
"57",0,0,0,0,0,0,0
"58",0,0,2,0,0,0,0
