,Alaska Plaice,Arrowtooth Flounder,Atka Mackerel,BSAI Alaska Plaice,BSAI Kamchatka Flounder,BSAI Other Flatfish,BSAI Shortraker Rockfish,BSAI Skate,BSAI Squid,Flathead Sole
1992,0,366,1,0,0,0,0,0,0,0
1993,0,"1,017",0,0,0,0,0,0,0,0
1994,0,"1,595",0,0,0,0,0,0,0,0
1995,0,345,0,0,0,0,0,0,0,"3,929"
1996,0,819,0,0,0,0,0,0,0,"3,165"
1997,0,386,0,0,0,0,0,0,0,"3,896"
1998,0,"2,382",0,0,0,0,0,0,0,"5,323"
1999,0,"1,631",32,0,0,0,0,0,0,"2,309"
2000,0,"1,998",0,0,0,0,0,0,0,"2,644"
2001,0,"1,845",0,0,0,0,0,0,0,"3,231"
2002,"10,395",997,0,0,0,0,0,0,0,"2,190"
2003,118,"1,132",16,"8,395",0,213,0,0,1,"2,856"
2004,0,263,0,"5,835",0,433,0,0,0,"1,076"
2005,0,645,110,"8,711",0,653,0,0,0,"1,247"
2006,0,350,17,"13,972",0,877,0,0,0,"2,025"
2007,0,213,0,"16,357",0,"2,850",0,0,0,"1,735"
2008,0,"1,969",0,"13,511",0,"1,235",0,0,0,"5,579"
2009,0,"1,851",0,"10,631",0,241,0,0,0,"3,497"
2010,0,"1,619",0,"12,044",0,977,0,0,0,"2,695"
2011,0,"2,331",0,"18,305",91,"1,585",0,"2,107",0,"3,229"
2012,0,987,0,"13,594",122,"1,206",0,"2,234",0,"2,095"
2013,0,"2,042",0,"15,978",148,388,0,"2,683",0,"4,179"
2014,0,"2,216",0,"14,372",498,"2,886",0,"1,970",0,"3,998"
2015,0,"1,685",0,"11,681",427,"1,041",0,"1,072",0,"3,337"
2016,0,"3,249",0,"8,163",284,"1,135",0,"1,294",0,"4,103"
2017,0,"1,262",0,"12,782",164,"1,734",0,"1,931",0,"3,106"
2018,0,"3,075",0,"15,330",218,"3,282",0,"2,560",0,"3,960"
2019,0,"3,219",0,"12,953",230,"1,476",0,"3,508",0,"4,132"
2020,0,"2,015",0,"16,595",128,"2,175",1,"2,480",0,"3,498"
2021,0,"1,198",0,"11,422",77,"1,034",0,"2,791",0,"2,474"
