,Pacific Ocean Perch,Pollock,Rex Sole,Rock Sole,Sablefish,Sculpin,Shark,Sharpchin/Northern Rockfish,Shortraker/Rougheye/Sharpchin/Northern Rockfish,Squid
1992,0,"13,100",0,"14,646",0,0,0,0,0,0
1993,4,"15,253",0,"7,300",0,0,0,0,0,0
1994,0,"33,200",0,"8,096",0,0,0,0,0,4
1995,0,"27,041",0,"7,486",0,0,0,0,0,0
1996,0,"22,254",0,"12,903",0,0,0,0,0,10
1997,0,"24,100",0,"16,693",0,0,0,0,0,0
1998,1,"15,339",0,"9,826",0,0,0,0,1,1
1999,12,"8,701",0,"10,774",4,0,0,0,15,0
2000,1,"13,425",0,"7,345",0,0,0,0,0,0
2001,0,"16,502",0,"5,810",0,0,0,1,0,0
2002,1,"14,489",0,"10,664",0,0,0,0,0,0
2003,10,"11,578",0,"8,314",0,0,0,0,0,0
2004,0,"10,383",0,"9,972",0,0,0,0,0,0
2005,15,"10,312",0,"10,090",1,0,0,0,0,0
2006,0,"5,966",0,"7,971",0,0,0,0,0,0
2007,0,"4,020",0,"8,241",0,0,0,0,0,0
2008,0,"9,827",0,"10,468",0,0,0,0,0,0
2009,0,"7,036",0,"8,978",0,0,0,0,0,0
2010,0,"5,179",0,"9,624",0,0,0,0,0,0
2011,0,"8,673",0,"9,694",0,"1,804",1,0,0,0
2012,0,"11,197",0,"9,179",0,"1,940",0,0,0,0
2013,16,"20,171",0,"7,688",0,"1,920",0,0,0,0
2014,0,"24,712",0,"7,030",0,"1,259",0,0,0,0
2015,0,"21,281",0,"9,772",0,"1,082",1,0,0,0
2016,2,"22,306",0,"7,948",0,948,3,0,0,0
2017,0,"23,414",0,"12,196",0,"1,308",1,0,0,0
2018,0,"28,229",0,"9,359",6,"1,246",4,0,0,0
2019,0,"23,153",0,"9,204",0,"1,534",2,0,0,0
2020,63,"31,648",0,"11,242",3,"1,451",2,0,0,0
2021,0,"22,282",0,"7,880",0,0,1,0,0,0
