Month,Year,t,btemp,cpool_1,cpool_2,cpool_3,Model
1,1970,1/18/70,-0.266412174,0.792259839,1,1,CFS_hindcast
1,1970,1/25/70,-1.1276809,0.963359468,1,1,CFS_hindcast
2,1970,2/1/70,-1.489404187,1,1,1,CFS_hindcast
2,1970,2/8/70,-1.602479346,1,1,1,CFS_hindcast
2,1970,2/15/70,-1.53284499,1,1,1,CFS_hindcast
2,1970,2/22/70,-1.507688382,1,1,1,CFS_hindcast
3,1970,3/1/70,-1.490898527,1,1,1,CFS_hindcast
3,1970,3/8/70,-1.696475632,1,1,1,CFS_hindcast
3,1970,3/15/70,-1.695425917,1,1,1,CFS_hindcast
3,1970,3/22/70,-1.64504581,1,1,1,CFS_hindcast
3,1970,3/29/70,-1.593290422,1,1,1,CFS_hindcast
4,1970,4/5/70,-1.633409021,1,1,1,CFS_hindcast
4,1970,4/12/70,-1.623888833,1,1,1,CFS_hindcast
4,1970,4/19/70,-1.472120253,0.996949495,1,1,CFS_hindcast
4,1970,4/26/70,-1.474096631,0.990864194,1,1,CFS_hindcast
5,1970,5/3/70,-1.399503282,0.975633473,1,1,CFS_hindcast
5,1970,5/10/70,-1.167541775,0.926873817,0.98782203,1,CFS_hindcast
5,1970,5/17/70,-0.866753998,0.887286575,0.96040448,1,CFS_hindcast
5,1970,5/24/70,-0.413985827,0.768576244,0.908613059,0.957353975,CFS_hindcast
5,1970,5/31/70,-0.027880813,0.622458459,0.872099608,0.93604746,CFS_hindcast
6,1970,6/7/70,0.440685616,0.43353055,0.774716562,0.90866288,CFS_hindcast
6,1970,6/14/70,0.681808135,0.338999177,0.68343057,0.860009342,CFS_hindcast
6,1970,6/21/70,1.384157366,0.235193059,0.49748638,0.668074273,CFS_hindcast
6,1970,6/28/70,1.575074928,0.219852351,0.463938236,0.637607885,CFS_hindcast
7,1970,7/5/70,1.575415685,0.210691139,0.488385141,0.646776423,CFS_hindcast
7,1970,7/12/70,1.733526805,0.222905476,0.497491393,0.658920689,CFS_hindcast
7,1970,7/19/70,1.876304036,0.241223025,0.509625124,0.646716788,CFS_hindcast
7,1970,7/26/70,2.296464127,0.210682822,0.503461865,0.61013546,CFS_hindcast
8,1970,8/2/70,2.449574153,0.228992202,0.521747758,0.628390373,CFS_hindcast
8,1970,8/9/70,2.552285218,0.231998049,0.485280487,0.62238611,CFS_hindcast
8,1970,8/16/70,2.637254769,0.216728459,0.439507314,0.591946878,CFS_hindcast
8,1970,8/23/70,2.956406142,0.192361202,0.396837481,0.534093434,CFS_hindcast
8,1970,8/30/70,3.013787821,0.134351536,0.372455848,0.537173093,CFS_hindcast
9,1970,9/6/70,3.164353488,0.131282507,0.36025729,0.521932532,CFS_hindcast
9,1970,9/13/70,3.76616013,0.088549271,0.296166354,0.451765885,CFS_hindcast
