Row,intercept,Row,phPar,trialp[1],trialp[2],trialp[3],logSigmaT,logSigma
1,1.921155726,1,-0.036982261,-0.613631119,0.194463593,-0.213014943,-0.989726771,-1.390971753
2,1.871933444,2,-0.036490252,-0.649863205,0.176597266,-0.103316346,-0.960519867,-1.379759479
3,1.953342134,3,-0.03844828,-0.579672481,0.242716672,-0.201860576,-0.99647443,-1.376629401
4,1.775177219,4,-0.033541258,-0.521199081,-0.095547702,-0.356020167,-0.051756489,-1.369599231
5,0.800350712,5,-0.020289482,-0.883481335,0.007501123,-0.486875286,-0.251281648,-1.506033869
6,1.668886921,6,-0.037480086,-0.448855836,0.417427553,-0.066327586,-1.331109699,-1.489857659
7,1.424404169,7,-0.032210124,-0.306705066,0.224215985,0.005782028,-1.4019494,-1.503933039
8,0.895650116,8,-0.027008291,-0.348119141,0.28873083,-0.156706278,-1.829744741,-1.504641973
9,0.9258989,9,-0.026109294,-0.345578981,0.279194643,-0.142078131,-1.799488345,-1.502175138
10,-0.197274325,10,-0.01454953,-0.096660499,0.448041438,0.112020005,-0.802645511,-1.547040592
11,0.525308147,11,-0.019847388,-0.387985596,0.151842659,-0.216537091,-1.869706148,-1.656734026
12,-0.801100629,12,-0.010323129,0.084103206,0.77064005,0.448997163,-0.288697967,-1.648977194
13,-0.071633843,13,-0.017082908,-0.023359312,0.532560248,0.133037789,-0.994792533,-1.56044875
14,-1.245449817,14,-0.002996505,-0.111985757,0.604800333,0.230962772,-0.313612843,-1.478950761
15,0.212598415,15,-0.019249126,-0.330850529,0.459484833,0.251695017,-0.563584752,-1.322664681
16,-1.008723174,16,-0.001970564,-0.324909506,0.340451323,-0.020861805,-1.123987017,-1.538533664
17,-0.616740205,17,-0.00622699,-0.346501438,0.26228443,-0.109522019,-1.501581064,-1.442168218
18,-0.186802531,18,-0.011337815,-0.388638587,0.18453142,-0.121758359,-1.5282889,-1.543379013
19,-0.069225782,19,-0.011907038,-0.426353555,0.166419249,-0.291352151,-1.749925502,-1.509658445
20,1.168699589,20,-0.032055081,-0.147576237,0.513583329,0.046922572,-0.37733825,-1.51432182
21,1.525246609,21,-0.036366837,-0.166319212,0.437284057,0.142623031,-1.456746086,-1.473138791
22,0.049234638,22,-0.011973674,-0.598305409,0.024052498,-0.375077989,-1.140772758,-1.455475372
23,-0.821318637,23,0.000494806,-0.731081845,0.070263482,-0.462770184,-0.154576083,-1.368146661
24,0.230319484,24,-0.019333226,-0.138175616,0.541100187,0.05429664,-1.7942385,-1.604934705
25,-0.782135893,25,-0.006042923,-0.185510384,0.500010414,-0.066036417,-0.237717752,-1.516411028
26,0.064372737,26,-0.017155607,-0.101391953,0.421649202,0.036186309,-1.337143246,-1.540625963
27,-0.21589338,27,-0.012540714,-0.259768938,0.433833499,0.103448005,-1.343677279,-1.505552718
28,0.453347356,28,-0.020103419,-0.226654327,0.342944938,-0.118789448,-0.996238235,-1.547618132
29,0.313442246,29,-0.019779123,-0.25887515,0.387043369,0.004876485,-1.130805179,-1.491817526
30,0.465020363,30,-0.020763163,-0.227954095,0.289321255,-0.013016272,-1.113946626,-1.501569396
31,0.454016151,31,-0.021095768,-0.350707872,0.402079829,0.023017939,-1.026995841,-1.539143172
32,-0.009407028,32,-0.015934545,-0.272145127,0.473916652,0.094822031,-1.289393616,-1.593086978
33,0.91640456,33,-0.022944592,-0.517390726,-0.018273911,-0.374150672,-0.578394385,-1.578357038
34,0.424990713,34,-0.019071341,-0.339157082,0.197973588,-0.171280768,-1.240784792,-1.733317186
35,0.634986116,35,-0.020165499,-0.494933035,0.052943158,-0.331441737,-0.408516884,-1.459448624
36,0.633662075,36,-0.020486947,-0.583255905,0.123682225,-0.25794127,-0.779266174,-1.455332147
37,-0.801206857,37,-0.001087214,-0.693488248,0.016734227,-0.31275993,-0.880367422,-1.343934224
38,-0.516691404,38,-0.004711803,-0.485674716,0.089017007,-0.304738767,-0.91366497,-1.463234391
39,2.034526596,39,-0.039354446,-0.475387874,0.093050643,-0.222213741,-0.941680534,-1.538314238
40,2.520343755,40,-0.045000632,-0.518485662,0.099045296,-0.274650864,-0.871417302,-1.606338162
41,0.60366684,41,-0.020534677,-0.459103241,0.146729869,-0.213408418,-1.080483755,-1.512607083
42,0.402199163,42,-0.017746438,-0.50247754,0.154237758,-0.225227806,-0.4501468,-1.612063317
43,0.807090939,43,-0.025240062,-0.334288824,0.303184128,-0.028321054,-0.259049597,-1.58215309
44,-0.062337823,44,-0.013451219,-0.394472104,0.262250387,-0.081795161,-0.581434569,-1.489306563
45,0.456012522,45,-0.020994337,-0.267404579,0.307137638,-0.061666269,-0.302951106,-1.564236341
46,0.72222374,46,-0.022297208,-0.48931256,0.236169573,-0.211036166,-0.200464895,-1.57165317
47,0.983330488,47,-0.023671553,-0.625638846,-0.039747445,-0.324801728,-0.383927666,-1.54203931
48,0.42720585,48,-0.017969642,-0.473753176,0.107010042,-0.164331292,-1.276360964,-1.626879488
49,-0.218643945,49,-0.011645971,-0.389274585,0.283657362,-0.1294114,-1.468695906,-1.710611628
50,1.200674839,50,-0.031427168,-0.297849839,0.326770686,-0.072495534,-1.346071808,-1.175797261
51,1.200674839,51,-0.031427168,-0.297849839,0.326770686,-0.072495534,-1.346071808,-1.175797261
52,0.772723226,52,-0.025464494,-0.347983524,0.203159216,-0.025641313,-1.258859889,-1.238701299
53,0.840121287,53,-0.026600858,-0.240461899,0.365735052,-0.089653225,-1.596634845,-1.173656034
54,0.333177862,54,-0.01849842,-0.274767406,0.058616728,-0.036207691,-2.109139138,-1.163816741
55,-0.39898517,55,-0.012147932,-0.089745976,0.547355862,0.012948326,-1.365118753,-1.116789244
56,-0.300860124,56,-0.011546768,-0.321481299,0.297275891,0.123532565,-0.957854599,-1.124589923
57,-0.973758558,57,-0.002355306,-0.300312667,0.22290934,0.111990256,-1.355169673,-1.449649379
58,-1.460235318,58,0.0067011,-0.503427674,-0.027803112,-0.097149133,-0.733163737,-1.155885501
59,-1.459509015,59,0.007596322,-0.577080512,-0.055778864,-0.253143841,-0.696910379,-1.188217549
60,-1.406552991,60,0.007938054,-0.53342949,-0.118754612,-0.408530686,-0.638106837,-1.16747257
61,0.167954393,61,-0.011550127,-0.743281883,-0.117951879,-0.485166546,-0.821752141,-1.113169054
62,0.138352225,62,-0.013759174,-0.606732869,0.067051656,-0.185410887,-0.767862287,-1.379594352
63,-0.521073945,63,-0.008407507,-0.15332084,0.362247447,-0.060138337,-1.503196323,-1.461740153
64,1.137017692,64,-0.029195015,-0.230330988,0.301791861,-0.147976839,-1.59377803,-1.578320469
65,1.272082943,65,-0.031040318,-0.296309236,0.36780842,-0.112248333,-1.621795059,-1.566287909
66,1.335240635,66,-0.031474925,-0.293575443,0.235628371,-0.052537226,-1.493164191,-1.555104406
67,1.651475137,67,-0.036584505,-0.341655768,0.393628343,-0.053661063,-1.222152993,-1.420799006
68,1.765165989,68,-0.039678664,-0.113220812,0.32442243,0.094163955,-1.548702051,-1.318198699
69,1.661045781,69,-0.040145774,0.003495595,0.569925916,0.259408084,-1.160704732,-1.339454463
70,2.127373478,70,-0.045755284,0.006534469,0.57328051,0.239279277,-0.653094121,-1.426828707
71,-1.226582033,71,0.001997972,-0.341370794,0.256094806,-0.144946594,-0.860179203,-1.569109187
72,1.770967927,72,-0.0382663,-0.216158518,0.348968148,-0.001014433,-1.579246184,-1.559513001
73,0.760525266,73,-0.026145568,-0.180318203,0.343825108,-0.00984561,-1.016864629,-1.549855669
74,0.983203969,74,-0.029254551,-0.364836942,0.486031047,0.075104778,-1.216921993,-1.549183389
75,0.947542732,75,-0.029160834,-0.203830189,0.639774763,0.033852295,-0.898851257,-1.519101466
76,0.785419172,76,-0.027278782,-0.233426928,0.399221797,0.224294939,-0.689474953,-1.456579136
77,1.224135725,77,-0.033431448,-0.066663041,0.541799484,-0.011568829,-0.764883692,-1.326995713
78,-0.114703945,78,-0.016198936,-0.106509635,0.430792442,0.266276639,-1.217209763,-1.680903437
79,-0.465169805,79,-0.012976339,0.002398154,0.659263068,0.183837692,-0.880207986,-1.670889571
80,2.254084799,80,-0.034274345,-1.013433286,-0.503049901,-0.807674632,-0.372045172,-1.478985643
81,1.91485096,81,-0.030259478,-1.022342729,-0.367447679,-0.908951423,-0.574448042,-1.555033779
82,2.57949684,82,-0.034254121,-1.37497798,-0.711666223,-1.263793043,0.382170043,-1.463998666
83,2.121818566,83,-0.027669575,-1.517374464,-0.847015429,-1.132167263,0.600683913,-1.540546421
84,2.243823804,84,-0.030600168,-1.411941614,-0.720807165,-1.010782405,0.862179087,-1.404960962
85,2.292489384,85,-0.030271736,-1.407964535,-0.71251943,-1.035881064,0.888333793,-1.407342458
86,-0.482109349,86,-0.012131749,-0.028557425,0.549572095,0.181969689,-1.330781905,-1.64982969
87,0.995163212,87,-0.021593893,-0.800341303,-0.107435644,-0.471459173,-0.876584091,-1.441193243
88,0.787967596,88,-0.021201663,-0.621367104,0.082948312,-0.275921056,-0.30721549,-1.668731108
89,0.188522195,89,-0.019071298,-0.173565082,0.498174608,0.144015672,-1.313391934,-1.537885091
90,-0.276817612,90,-0.010386026,-0.334128132,0.216002227,-0.102828487,-1.228273768,-1.605207514
91,-0.071355596,91,-0.015337743,-0.220129761,0.374425008,-0.015597212,-1.214625904,-1.434264079
92,0.200370906,92,-0.018950399,-0.262619578,0.30872163,0.156212529,-1.198218038,-1.422804388
93,0.051115719,93,-0.017793146,-0.136084118,0.438069019,0.198432305,-0.714539856,-1.650138852
94,0.463529243,94,-0.022759228,-0.090208652,0.429593226,0.066397837,-0.779947495,-1.605254661
95,0.468001495,95,-0.021652081,-0.254218201,0.346695567,0.056902522,-0.940800469,-1.635939373
96,-0.379127936,96,-0.013629475,-0.089533158,0.557995681,0.266878224,-1.268692468,-1.695488448
97,0.29236403,97,-0.018514961,-0.248832714,0.306838922,-0.044084815,-1.461723851,-1.541773928
98,0.169078337,98,-0.018164173,-0.238578843,0.374264346,-0.02472062,-1.231805056,-1.469311872
99,0.512558818,99,-0.021891294,-0.240921432,0.386729427,-0.001124833,-1.098563732,-1.656773654
100,0.677747466,100,-0.022456135,-0.338230352,0.263873013,-0.052957561,-1.067551465,-1.76429166
101,1.665317183,101,-0.038072976,-0.228614228,0.38571852,0.092160033,-1.143371024,-1.310602381
102,2.491817737,102,-0.047423773,-0.232391836,0.371763866,-0.036202914,-1.275353474,-1.714258958
103,2.464417838,103,-0.047939668,-0.249072835,0.372529659,-0.026868935,-1.275674716,-1.711928088
104,1.103072017,104,-0.029145787,-0.329700986,0.339778986,-0.031599342,-1.694284875,-1.417146412
105,0.043118366,105,-0.014168334,-0.447076406,0.288967589,-0.114917296,-0.963061833,-1.665617983
106,-0.811622782,106,-0.003869169,-0.267688654,0.225402543,-0.051372859,-0.475152587,-1.657992604
107,-0.790191394,107,-0.00423932,-0.334964639,0.381164479,-0.116915522,-0.469160101,-1.647052553
108,0.641283929,108,-0.021533571,-0.447000897,0.219741086,-0.255839763,-0.222010922,-1.609629557
109,0.392234575,109,-0.019447307,-0.267990209,0.275619786,-0.185092081,-0.606555526,-1.566511891
110,-0.072779233,110,-0.012545216,-0.544824114,0.215482556,-0.062395687,-1.270716224,-1.524031442
111,1.140963918,111,-0.030458406,-0.315804254,0.424515314,0.139893363,-1.380896035,-1.603982866
112,1.477664574,112,-0.035252722,-0.139778113,0.441442918,0.01448668,-1.329913426,-1.68594978
113,0.965378907,113,-0.026599368,-0.414391522,0.206019929,-0.049032296,-1.567519297,-1.602877583
114,-0.471085993,114,-0.008970955,-0.257513811,0.304358643,-0.005529748,-1.035517584,-1.761031472
115,0.685345083,115,-0.025226725,-0.220211215,0.469954075,0.082608803,-0.890822605,-1.692599815
116,0.871015725,116,-0.014558327,-1.333823497,-0.602429861,-0.914224333,0.130793485,-1.332605623
