"","Year","HM_Fmsyr","AM_Fmsyr","GM_Biom","Catch_Assump","ABC_HM","OFL_AM","Bmsy","SSB","Adjust","CV_Biom","CV_SSB","ABC_T3","OFL_T3","peel"
"1",2021,0.114348,0.124138,2746.04,125,314.004,340.889,554.677,1036.49,1,0.0701147,0.0678867,219.495,287.567,0
"2",2022,0.114348,0.124138,3015.53,125,344.819,374.342,554.677,992.699,1,0.0888883,0.0715203,209.829,266.292,0
"3",2023,0.114348,0.124138,3109.4,125,355.553,385.995,554.677,972.437,1,0.104438,0.076133,214.734,266.285,0
"4",2024,0.114348,0.124138,3182.11,125,363.867,395.021,554.677,995.395,1,0.118436,0.0840504,230.313,281.112,0
"5",2025,0.114348,0.124138,3234.62,125,369.872,401.54,554.677,1062.57,1,0.129664,0.0985204,243.328,292.576,0
"6",2026,0.114348,0.124138,3481.05,125,398.05,432.131,554.677,1175.46,1,0.144245,0.122429,247.885,293.122,0
"7",2027,0.114348,0.124138,3697.34,125,422.782,458.98,554.677,1269.01,1,0.152521,0.146734,245.314,285.612,0
"8",2028,0.114348,0.124138,3925.16,125,448.833,487.262,554.677,1322.11,1,0.15892,0.163313,247.337,285.815,0
"9",2029,0.114348,0.124138,4152.14,125,474.787,515.438,554.677,1360.85,1,0.164367,0.174734,257.66,297.967,0
"10",2030,0.114348,0.124138,4428.34,125,506.371,549.726,554.677,1425.67,1,0.169603,0.182563,277.101,321.864,0
"11",2020,0.110348,0.118912,2656.3,125,293.116,315.866,565.13,1079.73,1,0.0622004,0.0644981,228.634,299.485,-1
"12",2021,0.110348,0.118912,2737.93,125,302.124,325.573,565.13,1034.94,1,0.070328,0.0677506,212.392,268.932,-1
"13",2022,0.110348,0.118912,3006.03,125,331.708,357.453,565.13,991.241,1,0.0890753,0.0713863,205.006,252.699,-1
"14",2023,0.110348,0.118912,3098.35,125,341.896,368.432,565.13,970.501,1,0.104407,0.0757617,208.619,252.702,-1
"15",2024,0.110348,0.118912,3170.9,125,349.902,377.059,565.13,992.858,1,0.117768,0.0824896,220.926,264.611,-1
"16",2025,0.110348,0.118912,3363.31,125,371.134,399.939,565.13,1059.96,1,0.127887,0.0942169,231.019,273.901,-1
"17",2026,0.110348,0.118912,3684.68,125,406.595,438.153,565.13,1175.51,1,0.140604,0.114719,240.135,281.676,-1
"18",2027,0.110348,0.118912,3945.58,125,435.386,469.178,565.13,1279.24,1,0.149123,0.136081,249.158,289.739,-1
"19",2028,0.110348,0.118912,4177.01,125,460.924,496.698,565.13,1347.8,1,0.155694,0.150387,262.041,303.832,-1
"20",2029,0.110348,0.118912,4459.62,125,492.109,530.304,565.13,1428.97,1,0.162156,0.1605,279.497,324.201,-1
"21",2019,0.114307,0.122807,2718.15,125,310.702,333.808,558.811,1087.19,1,0.0595301,0.0626876,244.77,320.63,-2
"22",2020,0.114307,0.122807,2792.42,125,319.192,342.929,558.811,1074.91,1,0.0668788,0.0653697,225.664,285.521,-2
"23",2021,0.114307,0.122807,2821.83,125,322.554,346.541,558.811,1036.23,1,0.0793231,0.0687911,210.777,258.921,-2
"24",2022,0.114307,0.122807,2824.44,125,322.852,346.861,558.811,1002.15,1,0.0932789,0.0728344,202.231,243.115,-2
"25",2023,0.114307,0.122807,2835.43,125,324.108,348.211,558.811,993.787,1,0.1079,0.0786274,204.085,241.758,-2
"26",2024,0.114307,0.122807,3021.93,125,345.426,371.115,558.811,1023.7,1,0.122514,0.0890478,209.996,245.93,-2
"27",2025,0.114307,0.122807,3255.07,125,372.076,399.747,558.811,1066.6,1,0.136549,0.105723,214.41,248.931,-2
"28",2026,0.114307,0.122807,3497.23,125,399.756,429.485,558.811,1102.61,1,0.147507,0.124675,219.642,253.833,-2
"29",2027,0.114307,0.122807,3744.29,125,427.996,459.826,558.811,1141.88,1,0.15595,0.1418,232.253,268.85,-2
"30",2028,0.114307,0.122807,4051,125,463.056,497.493,558.811,1216.45,1,0.163137,0.157034,253.236,294.901,-2
"31",2018,0.115917,0.125205,2861.25,125,331.668,358.244,563.791,1116.22,1,0.0593776,0.0627608,251.331,329.414,-3
"32",2019,0.115917,0.125205,2993.64,125,347.015,374.819,563.791,1126.46,1,0.0688421,0.065051,237.951,301.594,-3
"33",2020,0.115917,0.125205,2989.56,125,346.542,374.309,563.791,1108.59,1,0.0842659,0.0685278,222.303,273.42,-3
"34",2021,0.115917,0.125205,2927.2,125,339.313,366.501,563.791,1071.75,1,0.0945999,0.0728286,213.348,256.405,-3
"35",2022,0.115917,0.125205,2970.15,125,344.292,371.879,563.791,1053.69,1,0.107675,0.0788405,213.203,252.472,-3
"36",2023,0.115917,0.125205,3227.75,125,374.153,404.132,563.791,1073.03,1,0.125482,0.0901854,217.778,255.393,-3
"37",2024,0.115917,0.125205,3433.3,125,397.979,429.868,563.791,1115.1,1,0.138204,0.108888,222.816,259.146,-3
